model_name,cultural_region,is_western,mean_distance,n_countries,open_source,origin,is_western_str
gemini-2.5-flash,Latin America,False,1.736,13,False,US,Non-Western
gemini-2.5-flash,English-Speaking,True,3.11,3,False,US,Western
gemini-2.5-flash,Catholic Europe,True,2.123,9,False,US,Western
gemini-2.5-flash,Orthodox Europe,False,0.425,1,False,US,Non-Western
gemini-2.5-flash,Confucian,False,1.582,4,False,US,Non-Western
gemini-2.5-flash,Protestant Europe,True,2.66,2,False,US,Western
gemini-2.5-flash,West & South Asia,False,0.552,2,False,US,Non-Western
gemini-2.5-pro,African-Islamic,False,1.802,23,False,US,Non-Western
gemini-2.5-pro,Latin America,False,1.965,13,False,US,Non-Western
gemini-2.5-pro,English-Speaking,True,3.419,3,False,US,Western
gemini-2.5-pro,Catholic Europe,True,3.269,9,False,US,Western
gemini-2.5-pro,Orthodox Europe,False,2.014,1,False,US,Non-Western
gemini-2.5-pro,Confucian,False,1.465,4,False,US,Non-Western
gemini-2.5-pro,Protestant Europe,True,2.81,2,False,US,Western
gemini-2.5-pro,West & South Asia,False,1.118,2,False,US,Non-Western
gemini-3-pro-preview,African-Islamic,False,1.5,23,False,US,Non-Western
gemini-3-pro-preview,Latin America,False,1.617,13,False,US,Non-Western
gemini-3-pro-preview,English-Speaking,True,3.61,3,False,US,Western
gemini-3-pro-preview,Catholic Europe,True,2.836,9,False,US,Western
gemini-3-pro-preview,Orthodox Europe,False,2.081,1,False,US,Non-Western
gemini-3-pro-preview,Confucian,False,1.558,4,False,US,Non-Western
gemini-3-pro-preview,Protestant Europe,True,2.64,2,False,US,Western
gemini-3-pro-preview,West & South Asia,False,1.029,2,False,US,Non-Western
gemma-3-4b-it,African-Islamic,False,2.479,23,True,US,Non-Western
gemma-3-4b-it,Latin America,False,2.885,13,True,US,Non-Western
gemma-3-4b-it,English-Speaking,True,1.848,3,True,US,Western
gemma-3-4b-it,Catholic Europe,True,2.348,9,True,US,Western
gemma-3-4b-it,Orthodox Europe,False,1.917,1,True,US,Non-Western
gemma-3-4b-it,Confucian,False,1.366,4,True,US,Non-Western
gemma-3-4b-it,Protestant Europe,True,2.092,2,True,US,Western
gemma-3-4b-it,West & South Asia,False,1.906,2,True,US,Non-Western
gpt-4o,African-Islamic,False,0.906,23,False,US,Non-Western
gpt-4o,Latin America,False,1.048,13,False,US,Non-Western
gpt-4o,English-Speaking,True,1.931,3,False,US,Western
gpt-4o,Catholic Europe,True,1.851,9,False,US,Western
gpt-4o,Orthodox Europe,False,0.534,1,False,US,Non-Western
gpt-4o,Confucian,False,1.007,4,False,US,Non-Western
gpt-4o,Protestant Europe,True,2.01,2,False,US,Western
gpt-4o,West & South Asia,False,0.526,2,False,US,Non-Western
gpt-4o-mini,African-Islamic,False,1.443,23,False,US,Non-Western
gpt-4o-mini,Latin America,False,3.334,13,False,US,Non-Western
gpt-4o-mini,English-Speaking,True,3.616,3,False,US,Western
gpt-4o-mini,Catholic Europe,True,3.812,9,False,US,Western
gpt-4o-mini,Orthodox Europe,False,1.66,1,False,US,Non-Western
gpt-4o-mini,Confucian,False,1.198,4,False,US,Non-Western
gpt-4o-mini,Protestant Europe,True,2.841,2,False,US,Western
gpt-4o-mini,West & South Asia,False,0.943,2,False,US,Non-Western
gpt-5.1,African-Islamic,False,1.202,23,False,US,Non-Western
gpt-5.1,Latin America,False,1.795,13,False,US,Non-Western
gpt-5.1,English-Speaking,True,3.622,3,False,US,Western
gpt-5.1,Catholic Europe,True,3.496,9,False,US,Western
gpt-5.1,Orthodox Europe,False,0.425,1,False,US,Non-Western
gpt-5.1,Confucian,False,0.957,4,False,US,Non-Western
gpt-5.1,Protestant Europe,True,2.922,2,False,US,Western
gpt-5.1,West & South Asia,False,0.812,2,False,US,Non-Western
grok-4.1-fast,African-Islamic,False,2.589,23,False,US,Non-Western
grok-4.1-fast,Latin America,False,2.125,13,False,US,Non-Western
grok-4.1-fast,English-Speaking,True,2.596,3,False,US,Western
grok-4.1-fast,Catholic Europe,True,2.297,9,False,US,Western
grok-4.1-fast,Orthodox Europe,False,3.231,1,False,US,Non-Western
grok-4.1-fast,Confucian,False,2.624,4,False,US,Non-Western
grok-4.1-fast,Protestant Europe,True,2.774,2,False,US,Western
grok-4.1-fast,West & South Asia,False,2.432,2,False,US,Non-Western
kimi-k2,African-Islamic,False,0.974,23,True,China,Non-Western
kimi-k2,Latin America,False,1.578,13,True,China,Non-Western
kimi-k2,English-Speaking,True,3.699,3,True,China,Western
kimi-k2,Catholic Europe,True,3.332,9,True,China,Western
kimi-k2,Orthodox Europe,False,0.802,1,True,China,Non-Western
kimi-k2,Confucian,False,1.397,4,True,China,Non-Western
kimi-k2,Protestant Europe,True,3.514,2,True,China,Western
kimi-k2,West & South Asia,False,0.808,2,True,China,Non-Western
llama-3.2-3b-instruct,African-Islamic,False,4.375,23,True,US,Non-Western
llama-3.2-3b-instruct,Latin America,False,3.446,13,True,US,Non-Western
llama-3.2-3b-instruct,English-Speaking,True,0.778,3,True,US,Western
llama-3.2-3b-instruct,Catholic Europe,True,2.717,9,True,US,Western
llama-3.2-3b-instruct,Orthodox Europe,False,2.025,1,True,US,Non-Western
llama-3.2-3b-instruct,Confucian,False,1.1,4,True,US,Non-Western
llama-3.2-3b-instruct,Protestant Europe,True,1.1,2,True,US,Western
llama-3.2-3b-instruct,West & South Asia,False,3.501,2,True,US,Non-Western
llama-3.3-70b-instruct,African-Islamic,False,1.193,23,True,US,Non-Western
llama-3.3-70b-instruct,Latin America,False,1.411,13,True,US,Non-Western
llama-3.3-70b-instruct,English-Speaking,True,2.703,3,True,US,Western
llama-3.3-70b-instruct,Catholic Europe,True,2.244,9,True,US,Western
llama-3.3-70b-instruct,Orthodox Europe,False,0.878,1,True,US,Non-Western
llama-3.3-70b-instruct,Confucian,False,1.389,4,True,US,Non-Western
llama-3.3-70b-instruct,Protestant Europe,True,1.979,2,True,US,Western
llama-3.3-70b-instruct,West & South Asia,False,1.046,2,True,US,Non-Western
mistral-medium-3.1,African-Islamic,False,1.442,23,False,Europe,Non-Western
mistral-medium-3.1,Latin America,False,1.927,13,False,Europe,Non-Western
mistral-medium-3.1,English-Speaking,True,3.166,3,False,Europe,Western
mistral-medium-3.1,Catholic Europe,True,2.678,9,False,Europe,Western
mistral-medium-3.1,Orthodox Europe,False,1.677,1,False,Europe,Non-Western
mistral-medium-3.1,Confucian,False,1.461,4,False,Europe,Non-Western
mistral-medium-3.1,Protestant Europe,True,1.513,2,False,Europe,Western
mistral-medium-3.1,West & South Asia,False,0.429,2,False,Europe,Non-Western
mistral-nemo,African-Islamic,False,2.914,23,True,Europe,Non-Western
mistral-nemo,Latin America,False,3.477,13,True,Europe,Non-Western
mistral-nemo,English-Speaking,True,2.247,3,True,Europe,Western
mistral-nemo,Catholic Europe,True,3.675,9,True,Europe,Western
mistral-nemo,Orthodox Europe,False,2.891,1,True,Europe,Non-Western
mistral-nemo,Confucian,False,1.683,4,True,Europe,Non-Western
mistral-nemo,Protestant Europe,True,1.98,2,True,Europe,Western
mistral-nemo,West & South Asia,False,2.435,2,True,Europe,Non-Western
phi-3-mini-128k-instruct,African-Islamic,False,3.062,23,True,US,Non-Western
phi-3-mini-128k-instruct,Latin America,False,3.362,13,True,US,Non-Western
phi-3-mini-128k-instruct,English-Speaking,True,1.735,3,True,US,Western
phi-3-mini-128k-instruct,Catholic Europe,True,1.733,9,True,US,Western
phi-3-mini-128k-instruct,Orthodox Europe,False,2.199,1,True,US,Non-Western
phi-3-mini-128k-instruct,Confucian,False,2.416,4,True,US,Non-Western
phi-3-mini-128k-instruct,Protestant Europe,True,0.909,2,True,US,Western
phi-3-mini-128k-instruct,West & South Asia,False,2.72,2,True,US,Non-Western
qwen3-max,African-Islamic,False,1.215,23,True,China,Non-Western
qwen3-max,Latin America,False,1.499,13,True,China,Non-Western
qwen3-max,English-Speaking,True,2.189,3,True,China,Western
qwen3-max,Catholic Europe,True,1.866,9,True,China,Western
qwen3-max,Orthodox Europe,False,0.878,1,True,China,Non-Western
qwen3-max,Confucian,False,1.407,4,True,China,Non-Western
qwen3-max,Protestant Europe,True,1.563,2,True,China,Western
qwen3-max,West & South Asia,False,0.814,2,True,China,Non-Western
