Country,Edition,"OVERALL","1) AVAILABILITY","1.1) Usage","1.1.1) Internet users","1.1.2) Fixed-line broadband subscribers","1.1.3) Mobile subscribers","1.1.4) Gender gap in internet access","1.1.5) Gender gap in mobile phone access","1.2) Quality","1.2.1) Average fixed broadband upload speed","1.2.2) Average fixed broadband download speed","1.2.3) Average fixed broadband latency","1.2.4) Average mobile upload speed","1.2.5) Average mobile download speed","1.2.6) Average mobile latency","1.2.7) Bandwidth capacity","1.3) Infrastructure","1.3.1) Network coverage (min. 2G)","1.3.2) Network coverage (min. 3G)","1.3.3) Network coverage (min. 4G)","1.3.4) 5G deployment","1.3.5) Government initiatives to make Wi-Fi available","1.3.6) Private sector initiatives to make Wi-Fi available","1.3.7) Unlicensed spectrum policy","1.3.8) Internet exchange points","1.4) Electricity","1.4.1) Urban electricity access","1.4.2) Rural electricity access","2) AFFORDABILITY","2.1) Price","2.1.1) Smartphone cost (handset)","2.1.2) Mobile phone cost (prepaid tariff)","2.1.3) Mobile phone cost (postpaid tariff)","2.1.4) Fixed-line monthly broadband cost","2.2) Competitive environment","2.2.1) Average revenue per user (ARPU, annualized)","2.2.2) Wireless operators' market share","2.2.3) Broadband operators' market share","3) RELEVANCE","3.1) Local content","3.1.1) Availability of local news in local languages","3.1.2) Concentration of websites using country-level domains","3.1.3) Availability of e-Government services in the local language","3.2) Relevant content","3.2.1) e-Finance content","3.2.2) Value of e-finance","3.2.3) e-Health content","3.2.4) Value of e-health","3.2.5) e-Entertainment usage","3.2.6) e-Commerce content","3.2.7) Value of e-Commerce","3.2.8) Open data policies","4) READINESS","4.1) Literacy","4.1.1) Level of literacy","4.1.2) Educational attainment","4.1.3) Support for digital literacy","4.1.4) Level of web accessibility","4.2) Trust & Safety","4.2.1) Privacy regulations","4.2.2) Trust in online privacy","4.2.3) Trust in Government websites and apps","4.2.4) Trust in Non-government websites and apps","4.2.5) Trust in information from social media","4.2.6) e-Commerce safety","4.3) Policy","4.3.1) National female e-inclusion policies","4.3.1.1) Comprehensive female e-inclusion plan","4.3.1.2) Female digital skills training plan","4.3.1.3) Female STEM education plan","4.3.2) Government e-inclusion strategy","4.3.3) National broadband strategy","4.3.4) Funding for broadband buildout","4.3.5) Technology-neutrality policy for spectrum use","4.3.6) National digital identification system","4.3.7) Government efforts to promote 5G"
Argentina,E1,n/a,n/a,n/a,61.9,33.9,100,n/a,n/a,n/a,0.7,3.1,74.8,19.7,8,73.1,1.2,n/a,96.1,90,65,n/a,100,100,n/a,1.5,n/a,99.1,66.1,n/a,n/a,63.9,97.6,97.6,98.9,n/a,19.4,50,50,n/a,n/a,50,66.7,100,n/a,100,n/a,100,n/a,n/a,52.4,n/a,n/a,n/a,n/a,99,70.9,100,50,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,66.7,100,n/a,100,n/a
Argentina,E2,65.9,66.5,76,71.7,35.5,100,88.2,84.4,29.5,0.8,4.6,80.5,23.5,9.6,86,1.3,68,96.1,95,85,0,100,100,33.3,34.8,92.5,100,85,63.6,88.9,59.2,98.8,98.5,99,38.2,14.7,50,50,62.8,72.2,50,66.7,100,53.3,100,54.1,100,53.3,38.9,45,35.6,0,70.6,80.1,98.9,71.7,100,50,57.8,100,37.1,53.1,74.1,50,32.6,73.8,50,100,0,0,100,66.7,100,100,100,0
Argentina,E3,66.5,67.6,77.6,75.8,38.1,100,88.2,86,31.9,1.4,7.9,83.3,27.8,12.6,88.6,1.4,68.2,96.1,95,85,0,100,100,33.3,36,92.7,100,85.4,63.1,87.2,52.8,98.3,98.7,99,39,17.1,50,50,63.5,72.2,50,66.7,100,54.9,100,35.1,100,46.7,61.1,45,51.1,0,71.9,80.3,98.9,72.4,100,50,58.1,100,40,40.6,63,57.7,47.5,77.4,75,100,100,0,100,66.7,100,100,100,0
Argentina,E4,72.1,71.5,78.6,75.8,40.7,100,89.4,87.3,35.6,2.4,12.3,87,36.3,18.4,91.6,1.4,79.3,96.1,95,90.8,50,100,100,66.7,35.9,92.6,100,85.2,62.2,86.7,50.1,99,98.7,99,37.7,13.2,50,50,80.1,88.9,100,66.7,100,71.4,100,67.6,66.7,36.7,83.3,50.3,66.7,100,74.7,80.3,98.8,72.4,100,50,61.6,100,65.7,31.3,70.4,50,52.5,82.1,75,100,100,0,100,100,100,100,100,0
Argentina,E5,74.1,71.8,77.1,75.8,41.9,95.8,86.4,85.9,37.8,4.1,18.1,86.8,37.2,24.1,92.8,1.4,79.7,96.1,95,91.2,50,100,100,66.7,38.4,92.4,100,84.8,62.6,87.8,54.3,99.3,98.7,99,37.4,12.3,50,50,86.1,100,100,100,100,72.3,100,62.2,66.7,43.3,77.8,50.3,77.8,100,76,80.3,98.8,72.4,100,50,69.1,100,77.1,25,59.3,76.9,76.5,78.6,50,100,0,0,100,100,100,100,100,0
Australia,E1,n/a,n/a,n/a,85.9,60.8,77.8,n/a,n/a,n/a,5.3,10.4,78.4,52.5,34.5,90.6,0.9,n/a,98,99,94,n/a,100,100,n/a,42.5,n/a,100,100,n/a,n/a,94.5,99.2,99.4,99.8,n/a,66.6,50,100,n/a,n/a,50,66.7,100,n/a,100,n/a,100,n/a,n/a,83.9,n/a,n/a,n/a,n/a,100,87.4,100,50,n/a,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,66.7,100,n/a,0,n/a
Australia,E2,69.9,72.9,78.3,86.1,64.8,79.5,79.7,81.6,41,3.1,9.9,83,54.8,39.6,95.5,1.3,72.4,98.6,99.3,98,0,100,100,33.3,50.2,100,100,100,84.1,98.4,95.1,99.2,99.6,99.6,69.8,59.5,50,100,58.8,72.2,50,66.7,100,45.3,100,21.6,100,13.3,5.6,95.3,26.7,0,63.7,84.5,100,88.2,100,50,50.6,100,62.9,53.1,25.9,11.5,50.2,56,75,100,0,100,50,66.7,100,100,0,0
Australia,E3,70.8,73.9,79.1,86.1,68.7,78.5,80.8,81.6,43.9,4.6,12.9,85.5,57.5,47.8,97.1,2.2,72.5,98.8,99.4,99,0,100,100,33.3,49.5,100,100,100,75.2,97.9,93.1,99.2,99.6,99.6,52.5,57.5,50,50,66.4,72.2,50,66.7,100,60.6,100,48.6,100,50,44.4,95.3,46.7,0,67.5,84.7,100,89,100,50,51.2,100,60,28.1,33.3,23.1,62.7,66.7,100,100,100,100,100,66.7,100,100,0,0
Australia,E4,79.7,79.2,79.9,86.1,72.2,81.1,79.7,80.3,47.7,7.2,17.6,89.1,63.2,57.6,96.8,2.2,89.4,98.8,99.4,99.2,100,100,100,66.7,51.1,100,100,100,75.8,99.6,100,99.2,99.6,99.6,52,55.9,50,50,89.4,100,100,100,100,78.8,100,43.2,100,43.3,88.9,95.1,60,100,74.2,84.7,100,89,100,50,52.2,100,54.3,56.3,40.7,15.4,46.5,85.7,100,100,100,100,100,100,100,100,0,100
Australia,E5,82.7,80,80.6,86.1,74.1,80.7,81.8,80.3,48.8,9.4,21.9,90.1,57.9,63.1,97.1,2.2,90.6,99,99.5,99.4,100,100,100,66.7,60.6,100,100,100,84.1,99.6,100,99.2,99.6,99.6,68.5,55.6,50,100,87,100,100,100,100,74.1,100,43.2,100,16.7,66.7,95.1,71.1,100,79.8,84.7,100,89,100,50,69,100,48.6,78.1,66.7,50,70.5,85.7,100,100,100,100,100,100,100,100,0,100
Austria,E1,n/a,n/a,n/a,82.3,60.3,100,n/a,n/a,n/a,4.7,12.6,85.2,39.7,27.5,92.3,1.6,n/a,98,98,98,n/a,n/a,n/a,n/a,29.8,n/a,100,100,n/a,n/a,56.6,99.8,99.8,99.8,n/a,36.8,50,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,78.2,n/a,n/a,n/a,n/a,100,88.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Austria,E2,70.6,71.9,79.1,85.1,61.5,96.7,76.8,75.5,38.8,4.1,13.3,87.2,42.5,27.9,94.9,1.8,69.6,98,98,98,0,100,100,33.3,29.7,100,100,100,67.4,88.8,56,99.8,99.8,99.8,45.9,37.7,50,50,69.3,72.2,50,66.7,100,66.4,100,64.9,100,66.7,61.1,94.2,44.4,0,73.7,84.5,100,88.2,100,50,55.7,100,40,65.6,51.9,30.8,45.7,81,100,100,100,100,100,66.7,100,100,100,0
Austria,E3,72,73.1,82.4,88.8,60.7,93.1,84.9,84.3,40.3,4.6,16,87.3,45.9,30.4,96.1,1.7,69.6,98,98,98,0,100,100,33.3,29.6,100,100,100,71.3,96.2,85.6,99.8,99.8,99.8,46.5,39.4,50,50,74.3,83.3,50,100,100,65.2,100,48.6,100,60,72.2,94.2,46.7,0,69.5,84.5,100,88.2,100,50,42.9,100,60,21.9,25.9,26.9,22.4,81,100,100,100,100,100,66.7,100,100,100,0
Austria,E4,79.3,76.4,79.9,88.8,60.4,93.5,73.9,83,43.5,5.9,18.8,89.3,53.6,37.9,97,1.7,82.1,98,98,98,100,100,100,33.3,29.5,100,100,100,69.6,93.6,75.2,99.8,99.8,99.8,45.5,36.4,50,50,91.4,100,100,100,100,82.9,100,51.4,100,70,77.8,92.8,71.1,100,80,84.5,100,88.2,100,50,55.3,100,62.9,50,33.3,42.3,43.5,100,100,100,100,100,100,100,100,100,100,100
Austria,E5,76.9,78.8,81.1,89.9,60,89.9,81.7,84.2,47.3,7.6,28.3,91.1,57.6,46.6,98,1.7,86.7,98,98,98,100,100,100,33.3,66.3,100,100,100,69.3,93.6,75,99.7,99.8,99.8,45.1,35.4,50,50,80.7,88.9,100,66.7,100,72.5,100,48.6,100,20,38.9,92.8,80,100,78.9,90.8,100,88.2,100,75,45.8,100,54.3,15.6,25.9,38.5,40.5,100,100,100,100,100,100,100,100,100,100,100
Azerbaijan,E1,n/a,n/a,n/a,76.6,42.1,81.3,n/a,n/a,n/a,4.4,4.3,76.8,16.3,10.1,71.9,1.2,n/a,100,95.5,39,n/a,n/a,n/a,n/a,0,n/a,100,100,n/a,n/a,16.7,97.8,98.1,99.5,n/a,8.6,50,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50.9,n/a,n/a,n/a,n/a,99.8,71.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Azerbaijan,E2,n/a,n/a,n/a,77.3,39.5,74.8,56.4,61.7,n/a,4.2,3.8,82.7,23.1,13.1,84.9,1.1,n/a,100,95.5,41,n/a,n/a,n/a,n/a,0,n/a,100,100,n/a,n/a,29.5,97.8,99,99.5,n/a,8.1,50,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58.9,n/a,n/a,n/a,n/a,99.8,71.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Azerbaijan,E3,n/a,n/a,n/a,77.7,39.1,73,68,56.3,n/a,5.5,5.2,85.3,32.9,18.8,91.5,1.5,n/a,100,96.3,42,n/a,n/a,n/a,n/a,0,n/a,100,100,n/a,n/a,36.8,97.8,99,99.5,n/a,8.1,50,100,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,58.9,n/a,n/a,n/a,n/a,99.8,71.7,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,n/a
Azerbaijan,E4,66.5,68,66.2,78.1,40.5,74,69.3,69,39.7,7.9,7.1,88,52,26.5,94.7,1.7,66.2,100,97.1,49,50,100,100,33.3,0,100,100,100,66.6,80.4,25.4,97.8,99,99.5,52.7,8.1,50,100,75.2,83.3,100,100,50,67,50,63.2,100,56.2,84.2,63,69.6,50,56.4,57.4,99.8,71.7,33.3,25,59.2,100,62.1,51.4,50.2,49.4,42.3,52.4,0,0,0,0,100,66.7,100,0,100,0
Azerbaijan,E5,68.4,70.6,68.8,78.1,41.2,77.1,72.1,75.5,42,11,9.8,88.3,58.1,27.7,97.5,1.7,71.7,100,97.6,93,50,100,100,33.3,0,100,100,100,70,87.4,52.8,98.5,99,99.5,52.7,8,50,100,76.7,83.3,100,100,50,70.2,100,33.6,100,32.7,60.8,63,71.1,100,56.3,59.5,99.8,71.7,66.7,0,57,100,54.9,49.2,43,53.3,41.5,52.4,0,0,0,0,100,66.7,100,0,100,0
Bahrain,E1,n/a,n/a,n/a,88.7,39.3,100,n/a,n/a,n/a,2.7,4.9,80,41.2,13.8,89.4,3,n/a,98,97.9,95.6,n/a,n/a,n/a,n/a,92.9,n/a,100,100,n/a,n/a,44.4,99.4,98.5,99.8,n/a,49.1,50,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,68,n/a,n/a,n/a,n/a,88.9,62.2,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Bahrain,E2,n/a,n/a,n/a,98,34.8,100,78.7,83,n/a,2.7,6.5,84.4,38.4,12.2,92,2.9,n/a,100,100,100,n/a,n/a,n/a,n/a,89.4,n/a,100,100,n/a,n/a,47.7,99.4,97.7,99.8,n/a,43,50,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,68,n/a,n/a,n/a,n/a,96.4,63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Bahrain,E3,n/a,n/a,n/a,98.5,27.7,100,88.1,84.2,n/a,2.4,8.2,92.3,41.1,14.6,95.4,3.6,n/a,100,100,100,n/a,n/a,n/a,n/a,84.8,n/a,100,100,n/a,n/a,40.8,99.4,97.7,99.6,n/a,41.8,50,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,68,n/a,n/a,n/a,n/a,96.8,63,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,50,n/a
Bahrain,E4,71.1,73,77.5,98.6,17.2,100,88.1,83.4,41.4,13.2,19.7,84.4,47.9,23.8,96.3,4.3,73.1,100,100,100,100,100,0,0,84.8,100,100,100,59.3,87,51.3,99.4,97.7,99.6,31.6,44.9,50,0,78.1,88.9,100,66.7,100,67.4,100,10.8,100,43.3,83.3,61.7,40,100,74,83.7,96.9,63,100,75,64.4,100,51.4,59.4,77.8,69.2,28.4,73.8,50,100,0,0,0,66.7,100,100,100,100
Bahrain,E5,71.6,73.1,74.3,99.7,18.3,85.9,84.9,83,44.8,4.3,15.5,94.2,51,36.3,98.7,13.2,73.2,100,100,100,100,100,0,0,85.8,100,100,100,62.5,92.2,73.3,98.3,97.7,99.6,32.8,48.5,50,0,78.3,88.9,100,66.7,100,67.7,100,13.5,100,30,61.1,61.7,75.6,100,72.3,83.7,96.9,63,100,75,59.4,100,51.4,50,48.1,69.2,37.4,73.8,100,100,100,100,50,66.7,0,100,100,100
Bangladesh,E1,n/a,n/a,n/a,9.8,6.7,54.3,n/a,n/a,n/a,6.7,5.7,83.6,2.8,3.1,61.1,0.3,n/a,98.8,71,65,n/a,100,50,n/a,0.4,n/a,89.1,47.3,n/a,n/a,26.6,95.9,93.9,98.8,n/a,2.9,100,50,n/a,n/a,50,33.3,50,n/a,50,n/a,66.7,n/a,n/a,14.7,n/a,n/a,n/a,n/a,56.9,34.6,100,25,n/a,0,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,66.7,0,n/a,100,n/a
Bangladesh,E2,53.2,49.1,30.2,14.2,8.9,56.3,22.7,48.6,27.1,8.3,7.2,87,3.8,3.1,79.6,0.4,61.1,99,91.4,65,0,100,100,33.3,0,77.9,89.3,66.6,49,80.4,33.1,96.6,93,98.9,17.6,2.9,50,0,49.7,55.6,50,66.7,50,43.9,50,40.5,66.7,70,83.3,34.3,6.7,0,64.9,56.7,66.4,35.4,100,25,64.1,0,71.4,65.6,92.6,80.8,74,73.8,50,50,100,0,100,66.7,100,100,100,0
Bangladesh,E3,52.5,52,32.8,6.5,9.7,64.7,33.7,49.2,31.1,9.2,8.2,90.1,15.7,5.9,87.9,0.4,61.6,99,92.8,67,0,100,100,33.3,0.4,82.5,92.4,72.5,49.5,81.3,33.2,96.4,96.5,99,17.7,3,50,0,49.8,55.6,50,66.7,50,44,50,29.7,66.7,56.7,50,34.3,64.4,0,59,50.9,66.5,37,100,0,52.3,0,60,68.8,66.7,57.7,60.6,73.8,50,50,100,0,100,66.7,100,100,100,0
Bangladesh,E4,59.3,56.3,35.4,6.5,10.6,70.3,30.1,59.4,33,11,9.9,91.5,22.5,7.5,88.2,0.4,69.6,99.2,95.2,79,50,100,100,33.3,0.4,87,95.6,78.4,51.8,86.1,51.1,97.6,96.5,99,17.5,2.6,50,0,61.7,61.1,100,33.3,50,62.3,50,75.7,33.3,56.7,77.8,38.5,66.7,100,67.4,57.4,67.7,37,100,25,66.1,100,74.3,59.4,59.3,61.5,42.1,78.6,50,50,100,0,100,100,100,100,100,0
Bangladesh,E5,56.5,54.7,41.5,37.4,10.6,71.6,30.1,57.7,35.1,13.7,12.2,92.3,25.3,8.5,91.5,2.5,57.5,99.2,95.4,82,50,100,0,33.3,0,84.6,92.4,76.7,50.3,83.1,39.4,97.3,96.5,99,17.6,2.7,50,0,61.4,77.8,100,33.3,100,45.1,50,5.4,33.3,20,66.7,38.5,46.7,100,59.5,51.4,68.7,37,100,0,48.4,100,40,40.6,44.4,46.2,19.4,78.6,50,50,100,0,100,100,100,100,100,0
Belgium,E1,n/a,n/a,n/a,81.7,77.8,83.3,n/a,n/a,n/a,4.1,20.6,88,43.5,24.3,91.9,3.9,n/a,100,100,99.9,n/a,n/a,n/a,n/a,11.3,n/a,100,100,n/a,n/a,88.8,99.2,99.1,99.8,n/a,53.5,50,50,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,78.2,n/a,n/a,n/a,n/a,100,81.1,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,100,n/a
Belgium,E2,72.4,72.9,81.1,84.8,80.2,80.6,80.6,79.2,43,4.5,24,89.5,52.6,30.7,95.2,4.4,67.4,100,100,100,0,100,100,33.3,5.6,100,100,100,72.9,96.4,87.7,99.2,99.1,99.8,49.3,48,50,50,68.9,72.2,50,66.7,100,65.7,100,67.6,100,46.7,88.9,91,31.1,0,74.8,89.2,100,81.9,100,75,57.9,100,20,56.3,51.9,57.7,61.8,77.4,75,100,100,0,100,66.7,100,100,100,0
Belgium,E3,72.1,73.3,78.8,86,81.8,69.7,76.3,80.4,47,5.6,27.9,90.4,59.8,43.5,97.1,4.5,67.4,100,100,100,0,100,100,33.3,5.5,100,100,100,72,94.7,80.5,99.2,99.3,99.8,49.3,47.9,50,50,70.2,83.3,50,100,100,57.1,100,70.3,100,20,33.3,91,42.2,0,72.8,89.2,100,81.9,100,75,48.2,100,51.4,31.3,37,38.5,31.3,81,100,100,100,100,100,66.7,100,100,100,0
Belgium,E4,79.2,77.2,81.1,87.3,83.6,69.9,81.8,83,49.3,6.8,33.2,92.5,64.7,46.9,96.5,4.5,78.5,100,100,100,50,100,100,66.7,11.1,100,100,100,72.2,93.9,77.5,99.2,99.3,99.8,50.5,51.4,50,50,88.7,100,100,100,100,77.3,100,62.2,100,23.3,66.7,90.9,75.6,100,78.8,89.2,100,81.9,100,75,56.6,100,60,46.9,37,46.2,49.5,90.5,100,100,100,100,100,66.7,100,100,100,66.7
