country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,model_name,country_code_clean,Country,Numeric,Islamic,country_code_original,is_llm,extracted_model
LLM_llm_claude-3-7-sonnet-20250219_ru,LLM,1.9952811812,0.5167784513,AI Model,claude-3-7-sonnet-20250219,LLM_llm_claude-3-7-sonnet-20250219_ru,,,,LLM_llm_claude-3-7-sonnet-20250219_ru,True,llm_claude-3-7-sonnet-20250219_ru
LLM_llm_claude-3-7-sonnet-20250219_zh-cn,LLM,2.9654669069,2.8550462267,AI Model,claude-3-7-sonnet-20250219,LLM_llm_claude-3-7-sonnet-20250219_zh-cn,,,,LLM_llm_claude-3-7-sonnet-20250219_zh-cn,True,llm_claude-3-7-sonnet-20250219_zh-cn
LLM_llm_deepseek-chat_ar,LLM,1.6936778776,-0.5300824874,AI Model,deepseek-chat,LLM_llm_deepseek-chat_ar,,,,LLM_llm_deepseek-chat_ar,True,llm_deepseek-chat_ar
LLM_llm_deepseek-chat_en,LLM,2.6277639167,-0.4385556249,AI Model,deepseek-chat,LLM_llm_deepseek-chat_en,,,,LLM_llm_deepseek-chat_en,True,llm_deepseek-chat_en
LLM_llm_deepseek-chat_es,LLM,1.4246188682,0.3837439525,AI Model,deepseek-chat,LLM_llm_deepseek-chat_es,,,,LLM_llm_deepseek-chat_es,True,llm_deepseek-chat_es
LLM_llm_deepseek-chat_fr,LLM,2.2637021885,0.6053572481,AI Model,deepseek-chat,LLM_llm_deepseek-chat_fr,,,,LLM_llm_deepseek-chat_fr,True,llm_deepseek-chat_fr
LLM_llm_deepseek-chat_ru,LLM,3.7098779427,0.4849155845,AI Model,deepseek-chat,LLM_llm_deepseek-chat_ru,,,,LLM_llm_deepseek-chat_ru,True,llm_deepseek-chat_ru
LLM_llm_deepseek-chat_zh-cn,LLM,4.9478258201,-0.2356564587,AI Model,deepseek-chat,LLM_llm_deepseek-chat_zh-cn,,,,LLM_llm_deepseek-chat_zh-cn,True,llm_deepseek-chat_zh-cn
LLM_llm_deepseek_deepseek-chat-v3.1_ar,LLM,2.0038390236,-0.4207137371,AI Model,deepseek/deepseek-chat-v3.1,LLM_llm_deepseek_deepseek-chat-v3.1_ar,,,,LLM_llm_deepseek_deepseek-chat-v3.1_ar,True,llm_deepseek_deepseek-chat-v3.1_ar
LLM_llm_deepseek_deepseek-chat-v3.1_en,LLM,4.4406708521,-0.610131118,AI Model,deepseek/deepseek-chat-v3.1,LLM_llm_deepseek_deepseek-chat-v3.1_en,,,,LLM_llm_deepseek_deepseek-chat-v3.1_en,True,llm_deepseek_deepseek-chat-v3.1_en
LLM_llm_deepseek_deepseek-chat-v3.1_es,LLM,3.9456846679,-0.4969759732,AI Model,deepseek/deepseek-chat-v3.1,LLM_llm_deepseek_deepseek-chat-v3.1_es,,,,LLM_llm_deepseek_deepseek-chat-v3.1_es,True,llm_deepseek_deepseek-chat-v3.1_es
LLM_llm_deepseek_deepseek-chat-v3.1_fr,LLM,0.6720062896,0.3015433448,AI Model,deepseek/deepseek-chat-v3.1,LLM_llm_deepseek_deepseek-chat-v3.1_fr,,,,LLM_llm_deepseek_deepseek-chat-v3.1_fr,True,llm_deepseek_deepseek-chat-v3.1_fr
LLM_llm_deepseek_deepseek-chat-v3.1_ru,LLM,1.1581375875,1.5767130238,AI Model,deepseek/deepseek-chat-v3.1,LLM_llm_deepseek_deepseek-chat-v3.1_ru,,,,LLM_llm_deepseek_deepseek-chat-v3.1_ru,True,llm_deepseek_deepseek-chat-v3.1_ru
LLM_llm_deepseek_deepseek-chat-v3.1_zh-cn,LLM,3.6880582734,-0.6923317258,AI Model,deepseek/deepseek-chat-v3.1,LLM_llm_deepseek_deepseek-chat-v3.1_zh-cn,,,,LLM_llm_deepseek_deepseek-chat-v3.1_zh-cn,True,llm_deepseek_deepseek-chat-v3.1_zh-cn
LLM_llm_doubao-1-5-pro-32k-250115_ar,LLM,-1.4408965253,-1.2100370975,AI Model,doubao-1-5-pro-32k-250115,LLM_llm_doubao-1-5-pro-32k-250115_ar,,,,LLM_llm_doubao-1-5-pro-32k-250115_ar,True,llm_doubao-1-5-pro-32k-250115_ar
LLM_llm_doubao-1-5-pro-32k-250115_en,LLM,2.8215012772,-0.9355076541,AI Model,doubao-1-5-pro-32k-250115,LLM_llm_doubao-1-5-pro-32k-250115_en,,,,LLM_llm_doubao-1-5-pro-32k-250115_en,True,llm_doubao-1-5-pro-32k-250115_en
LLM_llm_doubao-1-5-pro-32k-250115_es,LLM,3.9832290121,1.2583508478,AI Model,doubao-1-5-pro-32k-250115,LLM_llm_doubao-1-5-pro-32k-250115_es,,,,LLM_llm_doubao-1-5-pro-32k-250115_es,True,llm_doubao-1-5-pro-32k-250115_es
LLM_llm_doubao-1-5-pro-32k-250115_fr,LLM,3.9832290121,1.2583508478,AI Model,doubao-1-5-pro-32k-250115,LLM_llm_doubao-1-5-pro-32k-250115_fr,,,,LLM_llm_doubao-1-5-pro-32k-250115_fr,True,llm_doubao-1-5-pro-32k-250115_fr
LLM_llm_doubao-1-5-pro-32k-250115_ru,LLM,3.633966418,0.3394850874,AI Model,doubao-1-5-pro-32k-250115,LLM_llm_doubao-1-5-pro-32k-250115_ru,,,,LLM_llm_doubao-1-5-pro-32k-250115_ru,True,llm_doubao-1-5-pro-32k-250115_ru
LLM_llm_doubao-1-5-pro-32k-250115_zh-cn,LLM,2.8587658148,0.1970833528,AI Model,doubao-1-5-pro-32k-250115,LLM_llm_doubao-1-5-pro-32k-250115_zh-cn,,,,LLM_llm_doubao-1-5-pro-32k-250115_zh-cn,True,llm_doubao-1-5-pro-32k-250115_zh-cn
LLM_llm_google_gemini-2.5-flash_ar,LLM,2.2263195497,1.2685592137,AI Model,google/gemini-2.5-flash,LLM_llm_google_gemini-2.5-flash_ar,,,,LLM_llm_google_gemini-2.5-flash_ar,True,llm_google_gemini-2.5-flash_ar
LLM_llm_google_gemini-2.5-flash_en,LLM,-0.7048169992,5.2001485447,AI Model,google/gemini-2.5-flash,LLM_llm_google_gemini-2.5-flash_en,,,,LLM_llm_google_gemini-2.5-flash_en,True,llm_google_gemini-2.5-flash_en
LLM_llm_google_gemini-2.5-flash_es,LLM,2.2918767167,-0.2541112472,AI Model,google/gemini-2.5-flash,LLM_llm_google_gemini-2.5-flash_es,,,,LLM_llm_google_gemini-2.5-flash_es,True,llm_google_gemini-2.5-flash_es
LLM_llm_google_gemini-2.5-flash_fr,LLM,4.1281502349,-0.1136225709,AI Model,google/gemini-2.5-flash,LLM_llm_google_gemini-2.5-flash_fr,,,,LLM_llm_google_gemini-2.5-flash_fr,True,llm_google_gemini-2.5-flash_fr
LLM_llm_google_gemini-2.5-flash_ru,LLM,2.0621885629,-1.5846169591,AI Model,google/gemini-2.5-flash,LLM_llm_google_gemini-2.5-flash_ru,,,,LLM_llm_google_gemini-2.5-flash_ru,True,llm_google_gemini-2.5-flash_ru
LLM_llm_google_gemini-2.5-flash_zh-cn,LLM,4.7690541151,-1.306763982,AI Model,google/gemini-2.5-flash,LLM_llm_google_gemini-2.5-flash_zh-cn,,,,LLM_llm_google_gemini-2.5-flash_zh-cn,True,llm_google_gemini-2.5-flash_zh-cn
LLM_llm_google_gemini-2.5-pro_ar,LLM,1.7804819189,-0.3309123297,AI Model,google/gemini-2.5-pro,LLM_llm_google_gemini-2.5-pro_ar,,,,LLM_llm_google_gemini-2.5-pro_ar,True,llm_google_gemini-2.5-pro_ar
LLM_llm_google_gemini-2.5-pro_en,LLM,3.1244488292,0.6858437777,AI Model,google/gemini-2.5-pro,LLM_llm_google_gemini-2.5-pro_en,,,,LLM_llm_google_gemini-2.5-pro_en,True,llm_google_gemini-2.5-pro_en
LLM_llm_google_gemini-2.5-pro_es,LLM,1.4375449428,2.1790174621,AI Model,google/gemini-2.5-pro,LLM_llm_google_gemini-2.5-pro_es,,,,LLM_llm_google_gemini-2.5-pro_es,True,llm_google_gemini-2.5-pro_es
LLM_llm_google_gemini-2.5-pro_fr,LLM,1.8406880382,1.7094571709,AI Model,google/gemini-2.5-pro,LLM_llm_google_gemini-2.5-pro_fr,,,,LLM_llm_google_gemini-2.5-pro_fr,True,llm_google_gemini-2.5-pro_fr
LLM_llm_google_gemini-2.5-pro_ru,LLM,1.8406880382,1.7094571709,AI Model,google/gemini-2.5-pro,LLM_llm_google_gemini-2.5-pro_ru,,,,LLM_llm_google_gemini-2.5-pro_ru,True,llm_google_gemini-2.5-pro_ru
LLM_llm_google_gemini-2.5-pro_zh-cn,LLM,2.2678539251,0.4928928162,AI Model,google/gemini-2.5-pro,LLM_llm_google_gemini-2.5-pro_zh-cn,,,,LLM_llm_google_gemini-2.5-pro_zh-cn,True,llm_google_gemini-2.5-pro_zh-cn
LLM_llm_google_gemini-3-pro-preview_ar,LLM,-1.3126720905,-1.639885499,AI Model,google/gemini-3-pro-preview,LLM_llm_google_gemini-3-pro-preview_ar,,,,LLM_llm_google_gemini-3-pro-preview_ar,True,llm_google_gemini-3-pro-preview_ar
LLM_llm_google_gemini-3-pro-preview_en,LLM,0.4209174626,1.1832103011,AI Model,google/gemini-3-pro-preview,LLM_llm_google_gemini-3-pro-preview_en,,,,LLM_llm_google_gemini-3-pro-preview_en,True,llm_google_gemini-3-pro-preview_en
LLM_llm_google_gemini-3-pro-preview_es,LLM,2.0163222922,1.442162719,AI Model,google/gemini-3-pro-preview,LLM_llm_google_gemini-3-pro-preview_es,,,,LLM_llm_google_gemini-3-pro-preview_es,True,llm_google_gemini-3-pro-preview_es
LLM_llm_google_gemini-3-pro-preview_fr,LLM,2.5212058823,2.2373055308,AI Model,google/gemini-3-pro-preview,LLM_llm_google_gemini-3-pro-preview_fr,,,,LLM_llm_google_gemini-3-pro-preview_fr,True,llm_google_gemini-3-pro-preview_fr
LLM_llm_google_gemini-3-pro-preview_ru,LLM,1.054155262,1.46596267,AI Model,google/gemini-3-pro-preview,LLM_llm_google_gemini-3-pro-preview_ru,,,,LLM_llm_google_gemini-3-pro-preview_ru,True,llm_google_gemini-3-pro-preview_ru
LLM_llm_google_gemini-3-pro-preview_zh-cn,LLM,1.054155262,1.46596267,AI Model,google/gemini-3-pro-preview,LLM_llm_google_gemini-3-pro-preview_zh-cn,,,,LLM_llm_google_gemini-3-pro-preview_zh-cn,True,llm_google_gemini-3-pro-preview_zh-cn
LLM_llm_google_gemma-3-4b-it_ar,LLM,-2.3446209729,-0.4098374079,AI Model,google/gemma-3-4b-it,LLM_llm_google_gemma-3-4b-it_ar,,,,LLM_llm_google_gemma-3-4b-it_ar,True,llm_google_gemma-3-4b-it_ar
LLM_llm_google_gemma-3-4b-it_en,LLM,1.1977296689,2.3206125053,AI Model,google/gemma-3-4b-it,LLM_llm_google_gemma-3-4b-it_en,,,,LLM_llm_google_gemma-3-4b-it_en,True,llm_google_gemma-3-4b-it_en
LLM_llm_google_gemma-3-4b-it_es,LLM,0.5905216139,2.3297356437,AI Model,google/gemma-3-4b-it,LLM_llm_google_gemma-3-4b-it_es,,,,LLM_llm_google_gemma-3-4b-it_es,True,llm_google_gemma-3-4b-it_es
LLM_llm_google_gemma-3-4b-it_fr,LLM,-0.406668584,2.4108602629,AI Model,google/gemma-3-4b-it,LLM_llm_google_gemma-3-4b-it_fr,,,,LLM_llm_google_gemma-3-4b-it_fr,True,llm_google_gemma-3-4b-it_fr
LLM_llm_google_gemma-3-4b-it_ru,LLM,-2.9741453768,-0.0137371622,AI Model,google/gemma-3-4b-it,LLM_llm_google_gemma-3-4b-it_ru,,,,LLM_llm_google_gemma-3-4b-it_ru,True,llm_google_gemma-3-4b-it_ru
LLM_llm_google_gemma-3-4b-it_zh-cn,LLM,-0.7721975887,1.7930064035,AI Model,google/gemma-3-4b-it,LLM_llm_google_gemma-3-4b-it_zh-cn,,,,LLM_llm_google_gemma-3-4b-it_zh-cn,True,llm_google_gemma-3-4b-it_zh-cn
LLM_llm_gpt-4o-mini_ar,LLM,1.4580163595,-0.2858082451,AI Model,gpt-4o-mini,LLM_llm_gpt-4o-mini_ar,,,,LLM_llm_gpt-4o-mini_ar,True,llm_gpt-4o-mini_ar
LLM_llm_gpt-4o-mini_en,LLM,6.6438862943,-1.4227688145,AI Model,gpt-4o-mini,LLM_llm_gpt-4o-mini_en,,,,LLM_llm_gpt-4o-mini_en,True,llm_gpt-4o-mini_en
LLM_llm_gpt-4o-mini_es,LLM,4.0480206407,1.4747845047,AI Model,gpt-4o-mini,LLM_llm_gpt-4o-mini_es,,,,LLM_llm_gpt-4o-mini_es,True,llm_gpt-4o-mini_es
LLM_llm_gpt-4o-mini_fr,LLM,3.9063071627,0.2109566197,AI Model,gpt-4o-mini,LLM_llm_gpt-4o-mini_fr,,,,LLM_llm_gpt-4o-mini_fr,True,llm_gpt-4o-mini_fr
LLM_llm_gpt-4o-mini_ru,LLM,4.6845290662,-1.3178442443,AI Model,gpt-4o-mini,LLM_llm_gpt-4o-mini_ru,,,,LLM_llm_gpt-4o-mini_ru,True,llm_gpt-4o-mini_ru
LLM_llm_gpt-4o-mini_zh-cn,LLM,4.2817982594,0.879035446,AI Model,gpt-4o-mini,LLM_llm_gpt-4o-mini_zh-cn,,,,LLM_llm_gpt-4o-mini_zh-cn,True,llm_gpt-4o-mini_zh-cn
LLM_llm_gpt-4o_ar,LLM,-0.4808482522,2.3125774624,AI Model,gpt-4o,LLM_llm_gpt-4o_ar,,,,LLM_llm_gpt-4o_ar,True,llm_gpt-4o_ar
LLM_llm_gpt-4o_en,LLM,0.8104692589,1.054060097,AI Model,gpt-4o,LLM_llm_gpt-4o_en,,,,LLM_llm_gpt-4o_en,True,llm_gpt-4o_en
LLM_llm_gpt-4o_es,LLM,2.819721422,2.8154167938,AI Model,gpt-4o,LLM_llm_gpt-4o_es,,,,LLM_llm_gpt-4o_es,True,llm_gpt-4o_es
LLM_llm_gpt-4o_fr,LLM,2.7440402809,1.3166580326,AI Model,gpt-4o,LLM_llm_gpt-4o_fr,,,,LLM_llm_gpt-4o_fr,True,llm_gpt-4o_fr
LLM_llm_gpt-4o_ru,LLM,3.2684418782,0.445345328,AI Model,gpt-4o,LLM_llm_gpt-4o_ru,,,,LLM_llm_gpt-4o_ru,True,llm_gpt-4o_ru
LLM_llm_gpt-4o_zh-cn,LLM,2.9829019547,1.4185304826,AI Model,gpt-4o,LLM_llm_gpt-4o_zh-cn,,,,LLM_llm_gpt-4o_zh-cn,True,llm_gpt-4o_zh-cn
LLM_llm_kimi-k2_ar,LLM,2.5472812748,0.1179355658,AI Model,kimi-k2,LLM_llm_kimi-k2_ar,,,,LLM_llm_kimi-k2_ar,True,llm_kimi-k2_ar
LLM_llm_kimi-k2_en,LLM,3.8877911891,0.405711028,AI Model,kimi-k2,LLM_llm_kimi-k2_en,,,,LLM_llm_kimi-k2_en,True,llm_kimi-k2_en
LLM_llm_kimi-k2_es,LLM,4.558563831,0.2741981674,AI Model,kimi-k2,LLM_llm_kimi-k2_es,,,,LLM_llm_kimi-k2_es,True,llm_kimi-k2_es
LLM_llm_kimi-k2_fr,LLM,4.7026061202,0.971134624,AI Model,kimi-k2,LLM_llm_kimi-k2_fr,,,,LLM_llm_kimi-k2_fr,True,llm_kimi-k2_fr
LLM_llm_kimi-k2_ru,LLM,2.9831507018,1.7067681934,AI Model,kimi-k2,LLM_llm_kimi-k2_ru,,,,LLM_llm_kimi-k2_ru,True,llm_kimi-k2_ru
LLM_llm_kimi-k2_zh-cn,LLM,6.1703319787,-1.0265282507,AI Model,kimi-k2,LLM_llm_kimi-k2_zh-cn,,,,LLM_llm_kimi-k2_zh-cn,True,llm_kimi-k2_zh-cn
LLM_llm_meta-llama_llama-3.2-3b-instruct_ar,LLM,0.0430401054,1.1085588356,AI Model,meta-llama/llama-3.2-3b-instruct,LLM_llm_meta-llama_llama-3.2-3b-instruct_ar,,,,LLM_llm_meta-llama_llama-3.2-3b-instruct_ar,True,llm_meta-llama_llama-3.2-3b-instruct_ar
LLM_llm_meta-llama_llama-3.2-3b-instruct_en,LLM,0.4999852366,2.4209225828,AI Model,meta-llama/llama-3.2-3b-instruct,LLM_llm_meta-llama_llama-3.2-3b-instruct_en,,,,LLM_llm_meta-llama_llama-3.2-3b-instruct_en,True,llm_meta-llama_llama-3.2-3b-instruct_en
LLM_llm_meta-llama_llama-3.2-3b-instruct_es,LLM,3.5778531018,1.8052485245,AI Model,meta-llama/llama-3.2-3b-instruct,LLM_llm_meta-llama_llama-3.2-3b-instruct_es,,,,LLM_llm_meta-llama_llama-3.2-3b-instruct_es,True,llm_meta-llama_llama-3.2-3b-instruct_es
LLM_llm_meta-llama_llama-3.2-3b-instruct_fr,LLM,2.7786362207,1.7854904284,AI Model,meta-llama/llama-3.2-3b-instruct,LLM_llm_meta-llama_llama-3.2-3b-instruct_fr,,,,LLM_llm_meta-llama_llama-3.2-3b-instruct_fr,True,llm_meta-llama_llama-3.2-3b-instruct_fr
LLM_llm_meta-llama_llama-3.2-3b-instruct_ru,LLM,1.377358357,1.5052546971,AI Model,meta-llama/llama-3.2-3b-instruct,LLM_llm_meta-llama_llama-3.2-3b-instruct_ru,,,,LLM_llm_meta-llama_llama-3.2-3b-instruct_ru,True,llm_meta-llama_llama-3.2-3b-instruct_ru
LLM_llm_meta-llama_llama-3.2-3b-instruct_zh-cn,LLM,0.0684939815,0.4842819567,AI Model,meta-llama/llama-3.2-3b-instruct,LLM_llm_meta-llama_llama-3.2-3b-instruct_zh-cn,,,,LLM_llm_meta-llama_llama-3.2-3b-instruct_zh-cn,True,llm_meta-llama_llama-3.2-3b-instruct_zh-cn
LLM_llm_meta-llama_llama-3.3-70b-instruct_ar,LLM,0.9121211002,0.5255614314,AI Model,meta-llama/llama-3.3-70b-instruct,LLM_llm_meta-llama_llama-3.3-70b-instruct_ar,,,,LLM_llm_meta-llama_llama-3.3-70b-instruct_ar,True,llm_meta-llama_llama-3.3-70b-instruct_ar
LLM_llm_meta-llama_llama-3.3-70b-instruct_en,LLM,2.1328947944,1.9150912017,AI Model,meta-llama/llama-3.3-70b-instruct,LLM_llm_meta-llama_llama-3.3-70b-instruct_en,,,,LLM_llm_meta-llama_llama-3.3-70b-instruct_en,True,llm_meta-llama_llama-3.3-70b-instruct_en
LLM_llm_meta-llama_llama-3.3-70b-instruct_es,LLM,1.1532161803,1.9675534868,AI Model,meta-llama/llama-3.3-70b-instruct,LLM_llm_meta-llama_llama-3.3-70b-instruct_es,,,,LLM_llm_meta-llama_llama-3.3-70b-instruct_es,True,llm_meta-llama_llama-3.3-70b-instruct_es
LLM_llm_meta-llama_llama-3.3-70b-instruct_fr,LLM,2.0098110845,2.1605044483,AI Model,meta-llama/llama-3.3-70b-instruct,LLM_llm_meta-llama_llama-3.3-70b-instruct_fr,,,,LLM_llm_meta-llama_llama-3.3-70b-instruct_fr,True,llm_meta-llama_llama-3.3-70b-instruct_fr
LLM_llm_meta-llama_llama-3.3-70b-instruct_ru,LLM,0.8300326189,3.2948681953,AI Model,meta-llama/llama-3.3-70b-instruct,LLM_llm_meta-llama_llama-3.3-70b-instruct_ru,,,,LLM_llm_meta-llama_llama-3.3-70b-instruct_ru,True,llm_meta-llama_llama-3.3-70b-instruct_ru
LLM_llm_meta-llama_llama-3.3-70b-instruct_zh-cn,LLM,3.1380869709,1.7911681831,AI Model,meta-llama/llama-3.3-70b-instruct,LLM_llm_meta-llama_llama-3.3-70b-instruct_zh-cn,,,,LLM_llm_meta-llama_llama-3.3-70b-instruct_zh-cn,True,llm_meta-llama_llama-3.3-70b-instruct_zh-cn
LLM_llm_microsoft_phi-3-mini-128k-instruct_ar,LLM,0.0761318701,0.33866344,AI Model,microsoft/phi-3-mini-128k-instruct,LLM_llm_microsoft_phi-3-mini-128k-instruct_ar,,,,LLM_llm_microsoft_phi-3-mini-128k-instruct_ar,True,llm_microsoft_phi-3-mini-128k-instruct_ar
LLM_llm_microsoft_phi-3-mini-128k-instruct_en,LLM,2.6052711064,0.9779598881,AI Model,microsoft/phi-3-mini-128k-instruct,LLM_llm_microsoft_phi-3-mini-128k-instruct_en,,,,LLM_llm_microsoft_phi-3-mini-128k-instruct_en,True,llm_microsoft_phi-3-mini-128k-instruct_en
LLM_llm_microsoft_phi-3-mini-128k-instruct_es,LLM,3.1445981787,1.0728264537,AI Model,microsoft/phi-3-mini-128k-instruct,LLM_llm_microsoft_phi-3-mini-128k-instruct_es,,,,LLM_llm_microsoft_phi-3-mini-128k-instruct_es,True,llm_microsoft_phi-3-mini-128k-instruct_es
LLM_llm_microsoft_phi-3-mini-128k-instruct_fr,LLM,2.8496124069,1.0999071201,AI Model,microsoft/phi-3-mini-128k-instruct,LLM_llm_microsoft_phi-3-mini-128k-instruct_fr,,,,LLM_llm_microsoft_phi-3-mini-128k-instruct_fr,True,llm_microsoft_phi-3-mini-128k-instruct_fr
LLM_llm_microsoft_phi-3-mini-128k-instruct_ru,LLM,3.1968921466,0.5483978104,AI Model,microsoft/phi-3-mini-128k-instruct,LLM_llm_microsoft_phi-3-mini-128k-instruct_ru,,,,LLM_llm_microsoft_phi-3-mini-128k-instruct_ru,True,llm_microsoft_phi-3-mini-128k-instruct_ru
LLM_llm_microsoft_phi-3-mini-128k-instruct_zh-cn,LLM,2.0117070902,1.4191845743,AI Model,microsoft/phi-3-mini-128k-instruct,LLM_llm_microsoft_phi-3-mini-128k-instruct_zh-cn,,,,LLM_llm_microsoft_phi-3-mini-128k-instruct_zh-cn,True,llm_microsoft_phi-3-mini-128k-instruct_zh-cn
LLM_llm_mistralai_mistral-medium-3.1_ar,LLM,1.2242985602,-0.6870719022,AI Model,mistralai/mistral-medium-3.1,LLM_llm_mistralai_mistral-medium-3.1_ar,,,,LLM_llm_mistralai_mistral-medium-3.1_ar,True,llm_mistralai_mistral-medium-3.1_ar
LLM_llm_mistralai_mistral-medium-3.1_en,LLM,0.8137662083,3.5958800963,AI Model,mistralai/mistral-medium-3.1,LLM_llm_mistralai_mistral-medium-3.1_en,,,,LLM_llm_mistralai_mistral-medium-3.1_en,True,llm_mistralai_mistral-medium-3.1_en
LLM_llm_mistralai_mistral-medium-3.1_es,LLM,1.8476119812,2.6506522338,AI Model,mistralai/mistral-medium-3.1,LLM_llm_mistralai_mistral-medium-3.1_es,,,,LLM_llm_mistralai_mistral-medium-3.1_es,True,llm_mistralai_mistral-medium-3.1_es
LLM_llm_mistralai_mistral-medium-3.1_fr,LLM,3.2740085156,-1.1039170431,AI Model,mistralai/mistral-medium-3.1,LLM_llm_mistralai_mistral-medium-3.1_fr,,,,LLM_llm_mistralai_mistral-medium-3.1_fr,True,llm_mistralai_mistral-medium-3.1_fr
LLM_llm_mistralai_mistral-medium-3.1_ru,LLM,2.945903547,0.6142381284,AI Model,mistralai/mistral-medium-3.1,LLM_llm_mistralai_mistral-medium-3.1_ru,,,,LLM_llm_mistralai_mistral-medium-3.1_ru,True,llm_mistralai_mistral-medium-3.1_ru
LLM_llm_mistralai_mistral-medium-3.1_zh-cn,LLM,3.2833900362,2.6631752816,AI Model,mistralai/mistral-medium-3.1,LLM_llm_mistralai_mistral-medium-3.1_zh-cn,,,,LLM_llm_mistralai_mistral-medium-3.1_zh-cn,True,llm_mistralai_mistral-medium-3.1_zh-cn
LLM_llm_mistralai_mistral-nemo_ar,LLM,1.4130923652,4.9845916325,AI Model,mistralai/mistral-nemo,LLM_llm_mistralai_mistral-nemo_ar,,,,LLM_llm_mistralai_mistral-nemo_ar,True,llm_mistralai_mistral-nemo_ar
LLM_llm_mistralai_mistral-nemo_en,LLM,6.0520725982,-0.4710848812,AI Model,mistralai/mistral-nemo,LLM_llm_mistralai_mistral-nemo_en,,,,LLM_llm_mistralai_mistral-nemo_en,True,llm_mistralai_mistral-nemo_en
LLM_llm_mistralai_mistral-nemo_es,LLM,0.6916830145,4.3689441596,AI Model,mistralai/mistral-nemo,LLM_llm_mistralai_mistral-nemo_es,,,,LLM_llm_mistralai_mistral-nemo_es,True,llm_mistralai_mistral-nemo_es
LLM_llm_mistralai_mistral-nemo_fr,LLM,3.2976602137,3.9193098928,AI Model,mistralai/mistral-nemo,LLM_llm_mistralai_mistral-nemo_fr,,,,LLM_llm_mistralai_mistral-nemo_fr,True,llm_mistralai_mistral-nemo_fr
LLM_llm_mistralai_mistral-nemo_ru,LLM,0.201648696,4.0554305461,AI Model,mistralai/mistral-nemo,LLM_llm_mistralai_mistral-nemo_ru,,,,LLM_llm_mistralai_mistral-nemo_ru,True,llm_mistralai_mistral-nemo_ru
