Country,Cultural_Region,PC1_Self_Expression,PC2_Secular_Rational
Lebanon,African-Islamic,-1.1688407268665841,-0.5401306507392692
Latvia,Catholic Europe,-0.05924078355889887,1.0185810711955883
Libya,African-Islamic,-1.3865170221602365,-2.017920825432017
Lithuania,Catholic Europe,-0.3223190708861604,1.136570153722354
Luxembourg,Catholic Europe,2.2777526541952655,0.9558079613681583
Macao,Confucian,0.8514381356151987,1.6779654487662106
Malaysia,West & South Asia,-0.5742040463886149,-0.8429698737277797
Maldives,African-Islamic,-0.8236634310115922,-1.4869093819818915
Mali,African-Islamic,-0.24626443191617758,-1.4322312582079637
Malta,Catholic Europe,-0.2817419412151255,-1.5034317320230028
Mexico,Latin America,0.56513099238291,-1.6026436360161087
Mongolia,Confucian,0.6365935011149355,1.247971957799771
Moldova (the Republic of),Orthodox Europe,-1.8976899831819674,0.5077045175256285
Montenegro,Orthodox Europe,-0.25648876042669433,0.031818870471738855
Morocco,African-Islamic,-1.4556488903850493,-0.9724022238754685
Netherlands (the),Protestant Europe,3.405748597577234,1.588006231682597
New Zealand,English-Speaking,3.4231011101315545,0.8055766749805756
Nicaragua,Latin America,-0.5311941554400063,-1.9529320216561412
Nigeria,African-Islamic,-1.1874510192154881,-1.599403114247839
Norway,Protestant Europe,4.1930682870643325,1.775606219030216
Pakistan,African-Islamic,-0.7922105392588278,-1.5493253495713377
Peru,Latin America,-0.5384933701318158,-1.0322475216655662
Philippines (the),Latin America,-0.052852597986250464,-1.720817189573704
Poland,Catholic Europe,0.1820736696494572,-0.35336334569705835
Portugal,Catholic Europe,-0.07538047467898441,-0.2549489796993429
Puerto Rico,Latin America,0.8739430669682655,-1.5939890585028442
Qatar,African-Islamic,-0.6791841757060847,-2.7273203939633377
Romania,Orthodox Europe,-1.313240849645662,-0.26987723823902
Russian Federation (the),Orthodox Europe,-0.7172868710087148,0.46534763411977637
Rwanda,African-Islamic,-1.1913142687035032,-1.6113103612636372
Serbia,Orthodox Europe,-0.25530042144291665,0.5983803517380835
Singapore,West & South Asia,0.34632545818253274,-0.04574471382044731
Slovakia,Catholic Europe,0.4914323518484345,0.8705712049771355
Viet Nam,West & South Asia,0.49741090826736734,-0.7045440270345154
Slovenia,Catholic Europe,1.4919978683136328,1.098516546911981
South Africa,African-Islamic,-0.017690544424382594,-0.8445139030637354
Zimbabwe,African-Islamic,-1.7217417889157274,-1.3100210716165797
Spain,Catholic Europe,1.6710847877207227,0.7933110579213855
Sweden,Protestant Europe,4.49534768874622,2.3386952685648903
Switzerland,Protestant Europe,3.222664340197851,1.2877405883997894
Tajikistan,African-Islamic,-0.5566170542318153,-1.9204305105910764
Thailand,West & South Asia,0.13892297337351073,-0.37053158455044577
Trinidad and Tobago,Latin America,-0.5709646655876806,-2.14503677927455
Tunisia,African-Islamic,-1.927127708440656,-0.944285803487293
Turkey,African-Islamic,-1.1349684146509385,-1.0971784742382358
Ukraine,Orthodox Europe,-0.8620481365400232,0.5115406547557041
Republic of North Macedonia,Orthodox Europe,0.044615120602795995,0.2316014058151315
Egypt,African-Islamic,-2.114761788074069,-0.8955747725659734
United Kingdom of Great Britain and Northern Ireland (the),English-Speaking,3.1259015108661976,1.1141712012359903
United States of America (the),English-Speaking,2.0833316426183677,0.3218169517765149
Burkina Faso,African-Islamic,-0.921956976083699,-1.2510416759879401
Uruguay,Latin America,1.437325089577464,-0.12517588427961968
Uzbekistan,African-Islamic,-0.08308854186591451,-2.015950175110546
Venezuela (Bolivarian Republic of),Latin America,-0.2621954235540585,-1.1709633109973483
Yemen,African-Islamic,-1.5902777922299296,-1.50500219960973
Zambia,African-Islamic,-0.9866468608048091,-0.5122826229815834
Northern Ireland,English-Speaking,1.7110694372075823,0.12347422757414521
Kosovo,African-Islamic,-0.7410415868923448,-1.3806582685765778
