country_code,data_source,PC1_rescaled,PC2_rescaled,Cultural Region,model_name,language,country_code_clean,Country,Numeric,Islamic,Numeric_str,country_code_original
Jordan,IVS,-1.7890822538500069,-2.013170349348855,African-Islamic,,,Jordan,Jordan,400.0,True,400,Jordan
Kazakhstan,IVS,-0.693144164829562,-0.5600719861476137,African-Islamic,,,Kazakhstan,Kazakhstan,398.0,True,398,Kazakhstan
Kenya,IVS,-0.17419952667411304,-0.9417147684905796,African-Islamic,,,Kenya,Kenya,404.0,True,404,Kenya
Korea (the Republic of),IVS,0.025654173539309343,1.3365360771252457,Confucian,,,Korea (the Republic of),Korea (the Republic of),410.0,False,410,Korea (the Republic of)
Kuwait,IVS,0.03252361566766113,-1.3371521973203635,African-Islamic,,,Kuwait,Kuwait,414.0,True,414,Kuwait
Kyrgyzstan,IVS,-0.8910438198623833,-1.6031461177297344,West & South Asia,,,Kyrgyzstan,Kyrgyzstan,417.0,False,417,Kyrgyzstan
Latvia,IVS,-0.06946952389069497,1.0226038215689934,Other,,,Latvia,Latvia,428.0,False,428,Latvia
Lebanon,IVS,-1.1663309927131336,-0.5455871982622295,African-Islamic,,,Lebanon,Lebanon,422.0,True,422,Lebanon
Libya,IVS,-1.3827949704298368,-2.022414139246762,African-Islamic,,,Libya,Libya,434.0,True,434,Libya
Lithuania,IVS,-0.3328174238339931,1.1399902253552499,Other,,,Lithuania,Lithuania,440.0,False,440,Lithuania
Luxembourg,IVS,2.2687181255228306,0.9644224956476846,Catholic Europe,,,Luxembourg,Luxembourg,442.0,False,442,Luxembourg
Macao,IVS,0.8514375906606652,1.6752663290599865,Confucian,,,Macao,Macao,446.0,False,446,Macao
Malaysia,IVS,-0.5702715033343455,-0.8476655255977595,West & South Asia,,,Malaysia,Malaysia,458.0,False,458,Malaysia
Maldives,IVS,-0.8217664010914457,-1.4899679417911418,West & South Asia,,,Maldives,Maldives,462.0,False,462,Maldives
Mali,IVS,-0.2423171969096826,-1.4349242925570702,African-Islamic,,,Mali,Mali,466.0,True,466,Mali
Malta,IVS,-0.2855471165114161,-1.5010131946518428,Catholic Europe,,,Malta,Malta,470.0,False,470,Malta
Mexico,IVS,0.5693651957434105,-1.6039253403698397,Latin America,,,Mexico,Mexico,484.0,False,484,Mexico
Moldova (the Republic of),IVS,-1.9032398871227973,0.5049050497524281,Orthodox Europe,,,Moldova (the Republic of),Moldova (the Republic of),498.0,False,498,Moldova (the Republic of)
Mongolia,IVS,0.6358859641280866,1.2458010403748672,Confucian,,,Mongolia,Mongolia,496.0,False,496,Mongolia
Montenegro,IVS,-0.2642392689177251,0.034841765810532464,Orthodox Europe,,,Montenegro,Montenegro,499.0,False,499,Montenegro
Morocco,IVS,-1.4532301150707416,-0.9775983646397365,African-Islamic,,,Morocco,Morocco,504.0,True,504,Morocco
Myanmar,IVS,-1.2879290518023863,-1.4901696512903517,West & South Asia,,,Myanmar,Myanmar,104.0,False,104,Myanmar
Netherlands (the),IVS,3.3998174675870914,1.5955905010063165,Protestant Europe,,,Netherlands (the),Netherlands (the),528.0,False,528,Netherlands (the)
New Zealand,IVS,3.424667567349648,0.8088021656722041,English-Speaking,,,New Zealand,New Zealand,554.0,False,554,New Zealand
Nicaragua,IVS,-0.5279322880676668,-1.9553806778227056,Latin America,,,Nicaragua,Nicaragua,558.0,False,558,Nicaragua
Nigeria,IVS,-1.184774354690065,-1.603466672330597,African-Islamic,,,Nigeria,Nigeria,566.0,True,566,Nigeria
Norway,IVS,4.1862074024652784,1.7851983450853746,Protestant Europe,,,Norway,Norway,578.0,False,578,Norway
Pakistan,IVS,-0.7880396561792681,-1.5538655296328254,West & South Asia,,,Pakistan,Pakistan,586.0,False,586,Pakistan
"Palestine, State of",IVS,-1.7365543249388524,-1.0580830895842748,African-Islamic,,,"Palestine, State of","Palestine, State of",275.0,True,275,"Palestine, State of"
Peru,IVS,-0.5364804658709047,-1.0351332101916753,Latin America,,,Peru,Peru,604.0,False,604,Peru
Philippines (the),IVS,-0.04765776720626138,-1.7236610465470241,Other,,,Philippines (the),Philippines (the),608.0,False,608,Philippines (the)
Poland,IVS,0.17906726403982617,-0.3521612195110157,Catholic Europe,,,Poland,Poland,616.0,False,616,Poland
Portugal,IVS,-0.08246107795035623,-0.2509780095759119,Catholic Europe,,,Portugal,Portugal,620.0,False,620,Portugal
Puerto Rico,IVS,0.8778402301324625,-1.594403802517301,Latin America,,,Puerto Rico,Puerto Rico,630.0,False,630,Puerto Rico
Qatar,IVS,-0.6728097041673362,-2.73054939757981,African-Islamic,,,Qatar,Qatar,634.0,True,634,Qatar
Republic of North Macedonia,IVS,0.03661922454175359,0.2352505335232257,Other,,,Republic of North Macedonia,Republic of North Macedonia,807.0,False,807,Republic of North Macedonia
Romania,IVS,-1.3157360399915938,-0.2723197693963407,Orthodox Europe,,,Romania,Romania,642.0,False,642,Romania
Russian Federation (the),IVS,-0.7191721898677548,0.4629765409459224,Orthodox Europe,,,Russian Federation (the),Russian Federation (the),643.0,False,643,Russian Federation (the)
Rwanda,IVS,-1.1874978154607918,-1.6161058825428818,African-Islamic,,,Rwanda,Rwanda,646.0,True,646,Rwanda
Serbia,IVS,-0.26007210326518865,0.5986574946033797,Orthodox Europe,,,Serbia,Serbia,688.0,False,688,Serbia
Singapore,IVS,0.35000020972335744,-0.049210479708225195,West & South Asia,,,Singapore,Singapore,702.0,False,702,Singapore
Slovakia,IVS,0.4844995673266829,0.8737309073238463,Catholic Europe,,,Slovakia,Slovakia,703.0,False,703,Slovakia
Slovenia,IVS,1.4871991464828802,1.102137356577354,Catholic Europe,,,Slovenia,Slovenia,705.0,False,705,Slovenia
South Africa,IVS,-0.01417632017767289,-0.8475525149853884,African-Islamic,,,South Africa,South Africa,710.0,True,710,South Africa
Spain,IVS,1.6660447573704011,0.7979620171345918,Catholic Europe,,,Spain,Spain,724.0,False,724,Spain
Sweden,IVS,4.488916965309701,2.3478219645490466,Protestant Europe,,,Sweden,Sweden,752.0,False,752,Sweden
Switzerland,IVS,3.215239678472672,1.2962936390266915,Protestant Europe,,,Switzerland,Switzerland,756.0,False,756,Switzerland
Taiwan (Province of China),IVS,-0.15325795753495233,1.345112512767448,Confucian,,,Taiwan (Province of China),Taiwan (Province of China),158.0,False,158,Taiwan (Province of China)
Tajikistan,IVS,-0.5495624992108268,-1.9250885374183568,West & South Asia,,,Tajikistan,Tajikistan,762.0,False,762,Tajikistan
Thailand,IVS,0.14300494131827213,-0.3746084996033846,West & South Asia,,,Thailand,Thailand,764.0,False,764,Thailand
Trinidad and Tobago,IVS,-0.5662476026927277,-2.148347839505442,Latin America,,,Trinidad and Tobago,Trinidad and Tobago,780.0,False,780,Trinidad and Tobago
Tunisia,IVS,-1.9244798793638966,-0.9506219929474804,African-Islamic,,,Tunisia,Tunisia,788.0,True,788,Tunisia
Turkey,IVS,-1.1339108653674064,-1.1007156935076152,West & South Asia,,,Turkey,Turkey,792.0,False,792,Turkey
Ukraine,IVS,-0.8657587125645108,0.509871543587399,Orthodox Europe,,,Ukraine,Ukraine,804.0,False,804,Ukraine
United Kingdom of Great Britain and Northern Ireland (the),IVS,3.120808169859913,1.121087675978365,English-Speaking,,,United Kingdom of Great Britain and Northern Ireland (the),United Kingdom of Great Britain and Northern Ireland (the),826.0,False,826,United Kingdom of Great Britain and Northern Ireland (the)
United States of America (the),IVS,2.0842016623970614,0.3230463500998523,English-Speaking,,,United States of America (the),United States of America (the),840.0,False,840,United States of America (the)
Uruguay,IVS,1.4391902528995135,-0.12496452433956903,Latin America,,,Uruguay,Uruguay,858.0,False,858,Uruguay
Uzbekistan,IVS,-0.07400247490452663,-2.0207389371429834,West & South Asia,,,Uzbekistan,Uzbekistan,860.0,False,860,Uzbekistan
Venezuela (Bolivarian Republic of),IVS,-0.2595325976569756,-1.173452526833604,Latin America,,,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of),862.0,False,862,Venezuela (Bolivarian Republic of)
Viet Nam,IVS,0.5014090749531911,-0.7071249455240773,West & South Asia,,,Viet Nam,Viet Nam,704.0,False,704,Viet Nam
Yemen,IVS,-1.5876579678093632,-1.5095088646869226,African-Islamic,,,Yemen,Yemen,887.0,True,887,Yemen
Zambia,IVS,-0.9859834549460473,-0.5160562288075348,African-Islamic,,,Zambia,Zambia,894.0,True,894,Zambia
Zimbabwe,IVS,-1.7193090596370562,-1.3154814130050214,African-Islamic,,,Zimbabwe,Zimbabwe,716.0,True,716,Zimbabwe
Algeria,Multilingual,-1.917399465590596,-2.1774359176352647,African-Islamic,anthropic/claude-3.7-sonnet,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-1.7960610757646465,-1.9711494371115452,African-Islamic,anthropic/claude-3.7-sonnet,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,0.036974837606546795,-2.275876030106217,African-Islamic,anthropic/claude-sonnet-4.5,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,0.055179921889004835,-0.7902668851755015,African-Islamic,anthropic/claude-sonnet-4.5,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-1.6786584935468398,-2.075045524924424,African-Islamic,deepseek/deepseek-chat-v3-0324,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-1.3469104016411726,-1.7017662217632308,African-Islamic,deepseek/deepseek-chat-v3-0324,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-1.7069897635108786,-2.01044309499779,African-Islamic,google/gemini-2.0-flash-001,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-2.3483450554316114,-0.9612099880528635,African-Islamic,google/gemini-2.0-flash-001,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,0.6827482440289908,-2.248406484382837,African-Islamic,google/gemini-2.5-flash,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,0.036974837606546795,-2.275876030106217,African-Islamic,google/gemini-2.5-flash,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-1.7069897635108786,-2.01044309499779,African-Islamic,meta-llama/llama-3.3-70b-instruct,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-1.7545646222337967,-2.4231575722415046,African-Islamic,meta-llama/llama-3.3-70b-instruct,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,0.675831064060573,-1.3388032049602607,African-Islamic,mistralai/mistral-nemo,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,1.023565447418751,-1.1413188602370083,African-Islamic,mistralai/mistral-nemo,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,0.9701191649048256,-1.50163127802379,African-Islamic,openai/gpt-4o-mini,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-0.4016559808852429,-1.5465975112886214,African-Islamic,openai/gpt-4o-mini,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-0.545624319800527,-2.1324696843704327,African-Islamic,qwen/qwq-32b,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,0.036974837606546795,-2.275876030106217,African-Islamic,qwen/qwq-32b,en,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,-1.7545646222337967,-2.4231575722415046,African-Islamic,x-ai/grok-code-fast-1,ar,Algeria,Algeria,12.0,True,12,Algeria
Algeria,Multilingual,0.21801476524580404,-1.0359885397817417,African-Islamic,x-ai/grok-code-fast-1,en,Algeria,Algeria,12.0,True,12,Algeria
Argentina,Multilingual,2.955047677334542,1.575406264919208,Latin America,anthropic/claude-3.7-sonnet,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,1.8884548667526628,1.213951073920879,Latin America,anthropic/claude-3.7-sonnet,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,1.453425509139476,1.8034432559550237,Latin America,anthropic/claude-sonnet-4.5,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,2.5200069969608854,1.597475149315573,Latin America,anthropic/claude-sonnet-4.5,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,2.8898895205431017,0.47339484021051226,Latin America,deepseek/deepseek-chat-v3-0324,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,2.8898895205431017,0.47339484021051226,Latin America,deepseek/deepseek-chat-v3-0324,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,1.7993835544988954,1.2532447318071245,Latin America,google/gemini-2.0-flash-001,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,0.27595484114276825,0.13545891469567564,Latin America,google/gemini-2.0-flash-001,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,3.5494628404504205,1.3053685715714494,Latin America,google/gemini-2.5-flash,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,3.65123461754842,1.151792537442549,Latin America,google/gemini-2.5-flash,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,2.532705840861459,1.6550183773355491,Latin America,meta-llama/llama-3.3-70b-instruct,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,2.8841228213000263,0.9180365111954503,Latin America,meta-llama/llama-3.3-70b-instruct,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,5.610259222570587,0.7938262459254337,Latin America,mistralai/mistral-nemo,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,0.8632455600040395,-1.5585724109192836,Latin America,mistralai/mistral-nemo,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,4.3474985815696225,1.6440285031031603,Latin America,openai/gpt-4o-mini,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,6.0363845456680325,-0.7449312233628835,Latin America,openai/gpt-4o-mini,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,4.288210729021353,2.995257746035816,Latin America,qwen/qwq-32b,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,4.255943651449173,2.7496776076258516,Latin America,qwen/qwq-32b,es,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,3.991470027080182,3.004736151707789,Latin America,x-ai/grok-code-fast-1,en,Argentina,Argentina,32.0,False,32,Argentina
Argentina,Multilingual,3.5016106421175097,2.796783350011034,Latin America,x-ai/grok-code-fast-1,es,Argentina,Argentina,32.0,False,32,Argentina
Australia,Multilingual,6.117175818324504,2.459395098868036,English-Speaking,anthropic/claude-3.7-sonnet,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,6.497609535613809,2.7373567652768163,English-Speaking,anthropic/claude-sonnet-4.5,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,6.548121408165519,1.243169169285635,English-Speaking,deepseek/deepseek-chat-v3-0324,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,5.171921397568573,2.304226388393427,English-Speaking,google/gemini-2.0-flash-001,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,4.148647238225169,2.7416105882474597,English-Speaking,google/gemini-2.5-flash,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,4.543222288712538,2.440199184372619,English-Speaking,meta-llama/llama-3.3-70b-instruct,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,8.011800292115133,0.033633815553264654,English-Speaking,mistralai/mistral-nemo,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,6.25156348240662,1.1283413092983585,English-Speaking,openai/gpt-4o-mini,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,7.475118090237792,2.7425079207862404,English-Speaking,qwen/qwq-32b,en-native,Australia,Australia,36.0,False,36,Australia
Australia,Multilingual,7.044172500396775,3.958733850368642,English-Speaking,x-ai/grok-code-fast-1,en-native,Australia,Australia,36.0,False,36,Australia
Belarus,Multilingual,-0.5438707437214316,0.7366880100135919,Orthodox Europe,anthropic/claude-3.7-sonnet,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.6245004227081811,0.4689711158383123,Orthodox Europe,anthropic/claude-3.7-sonnet,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.3942010839314435,0.8783720606106771,Orthodox Europe,anthropic/claude-sonnet-4.5,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,0.5059578495589812,0.42164877341647056,Orthodox Europe,anthropic/claude-sonnet-4.5,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-1.0860285377068157,0.19641588421492373,Orthodox Europe,deepseek/deepseek-chat-v3-0324,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,1.0888816532516246,-1.285242980475904,Orthodox Europe,deepseek/deepseek-chat-v3-0324,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.4832723961852118,0.9176657184969222,Orthodox Europe,google/gemini-2.0-flash-001,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-1.175099849960584,0.2357095421011687,Orthodox Europe,google/gemini-2.0-flash-001,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.7542804458011491,0.5696951873761176,Orthodox Europe,google/gemini-2.5-flash,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,1.2204482128155931,0.4405398680793851,Orthodox Europe,google/gemini-2.5-flash,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.685240464997911,0.4436623437979233,Orthodox Europe,meta-llama/llama-3.3-70b-instruct,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.9279172446498095,0.03108938275048439,Orthodox Europe,meta-llama/llama-3.3-70b-instruct,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.8530259933682577,0.20696919172949352,Orthodox Europe,mistralai/mistral-nemo,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,0.9279482707588412,0.9838438455971471,Orthodox Europe,mistralai/mistral-nemo,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,1.4697420008829378,0.49894122066520463,Orthodox Europe,openai/gpt-4o-mini,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,0.3570621825562257,0.5256501732854332,Orthodox Europe,openai/gpt-4o-mini,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.566500692810766,0.3571023174555,Orthodox Europe,qwen/qwq-32b,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-2.1079768298413524,0.08371284790163411,Orthodox Europe,qwen/qwq-32b,ru,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.49922622527408866,0.9854401646986305,Orthodox Europe,x-ai/grok-code-fast-1,en,Belarus,Belarus,112.0,False,112,Belarus
Belarus,Multilingual,-0.06779832853950513,0.5357343194479375,Orthodox Europe,x-ai/grok-code-fast-1,ru,Belarus,Belarus,112.0,False,112,Belarus
Canada,Multilingual,4.711149687186183,1.2377131939437085,English-Speaking,anthropic/claude-3.7-sonnet,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,6.497609535613809,2.7373567652768163,English-Speaking,anthropic/claude-sonnet-4.5,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,6.548121408165519,1.243169169285635,English-Speaking,deepseek/deepseek-chat-v3-0324,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,5.382331099648289,2.4712192110309013,English-Speaking,google/gemini-2.0-flash-001,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,5.488155306443056,2.540996683102327,English-Speaking,google/gemini-2.5-flash,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,6.254919812257781,1.929186110854228,English-Speaking,meta-llama/llama-3.3-70b-instruct,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,7.604780801440572,0.5041523559158725,English-Speaking,mistralai/mistral-nemo,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,5.067657305309034,2.2613822495722804,English-Speaking,openai/gpt-4o-mini,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,6.902479755151226,3.7831625766707027,English-Speaking,qwen/qwq-32b,en-native,Canada,Canada,124.0,False,124,Canada
Canada,Multilingual,7.004251532249226,3.6295865425418024,English-Speaking,x-ai/grok-code-fast-1,en-native,Canada,Canada,124.0,False,124,Canada
Chile,Multilingual,2.865976365080774,1.614699922805453,Latin America,anthropic/claude-3.7-sonnet,en,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,1.912715312648658,0.9182125898211367,Latin America,anthropic/claude-3.7-sonnet,es,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,2.09919891556192,1.830912801678403,Latin America,anthropic/claude-sonnet-4.5,en,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,2.070856322837412,1.3280919339672588,Latin America,anthropic/claude-sonnet-4.5,es,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,2.6511485484993456,0.3710044474996718,Latin America,deepseek/deepseek-chat-v3-0324,en,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,2.703405917629839,-0.4393053716467545,Latin America,deepseek/deepseek-chat-v3-0324,es,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,1.5845686816215943,0.40514694987649164,Latin America,google/gemini-2.0-flash-001,en,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,0.061139968265467526,-0.7126388672349567,Latin America,google/gemini-2.0-flash-001,es,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,3.100312166326947,1.035985356223135,Latin America,google/gemini-2.5-flash,en,Chile,Chile,152.0,False,152,Chile
Chile,Multilingual,3.230415213388985,0.8178068921676005,Latin America,google/gemini-2.5-flash,es,Chile,Chile,152.0,False,152,Chile
