country_code,Country,year,weight,data_source,model_name,model_region,cultural_region,language,entity_id,A008,A165,E018,E025,F063,F118,F120,G006,Y002,Y003
788.0,Tunisia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Tunisia_ar,2.0,2.0,1.0,2.0,9.0,3.0,2.0,1.0,3.0,1.0
68.0,Bolivia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,es,deepseek-chat_Bolivia_es,2.0,2.0,1.0,1.0,9.0,5.0,2.0,1.0,3.0,1.0
724.0,Spain,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,en,deepseek-chat_Spain_en,1.0,2.0,2.0,2.0,5.0,8.0,6.0,1.0,3.0,1.0
12.0,Algeria,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Algeria_ar,2.0,2.0,1.0,2.0,9.0,1.0,1.0,1.0,1.0,1.0
275.0,Palestine,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en,deepseek-chat_Palestine_en,3.0,2.0,1.0,1.0,10.0,1.0,2.0,1.0,3.0,1.0
380.0,Italy,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,it,deepseek-chat_Italy_it,2.0,2.0,2.0,2.0,6.0,8.0,5.0,2.0,3.0,1.0
887.0,Yemen,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Yemen_ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0
124.0,Canada,2025,1.0,multilingual_roleplay,deepseek-chat,CN,English-Speaking,fr,deepseek-chat_Canada_fr,2.0,1.0,2.0,2.0,5.0,8.0,7.0,1.0,3.0,2.0
320.0,Guatemala,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Guatemala_en,2.0,2.0,1.0,2.0,9.0,4.0,2.0,1.0,3.0,1.0
446.0,Macao,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,pt,deepseek-chat_Macao_pt,2.0,2.0,1.0,2.0,6.0,7.0,5.0,2.0,1.0,1.0
604.0,Peru,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Peru_es,2.0,2.0,1.0,2.0,7.0,5.0,3.0,1.0,3.0,1.0
32.0,Argentina,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Argentina_en,2.0,2.0,2.0,1.0,7.0,7.0,5.0,1.0,3.0,1.0
76.0,Brazil,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Brazil_en,1.0,2.0,2.0,2.0,8.0,8.0,4.0,1.0,3.0,1.0
604.0,Peru,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Peru_en,2.0,2.0,1.0,2.0,8.0,5.0,3.0,1.0,3.0,1.0
40.0,Austria,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,en,deepseek-chat_Austria_en,2.0,2.0,2.0,2.0,5.0,8.0,7.0,2.0,3.0,1.0
158.0,Taiwan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en,deepseek-chat_Taiwan_en,2.0,2.0,2.0,2.0,5.0,7.0,5.0,2.0,1.0,1.0
702.0,Singapore,2025,1.0,multilingual_roleplay,deepseek-chat,CN,West & South Asia,zh-cn,deepseek-chat_Singapore_zh-cn,2.0,2.0,1.0,2.0,5.0,7.0,6.0,1.0,1.0,2.0
398.0,Kazakhstan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ru,deepseek-chat_Kazakhstan_ru,2.0,2.0,1.0,2.0,8.0,1.0,3.0,1.0,3.0,1.0
124.0,Canada,2025,1.0,multilingual_roleplay,deepseek-chat,CN,English-Speaking,en-native,deepseek-chat_Canada_en-native,1.0,2.0,3.0,1.0,5.0,8.0,7.0,1.0,4.0,1.0
344.0,Hong Kong,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,zh-cn,deepseek-chat_Hong Kong_zh-cn,2.0,2.0,2.0,2.0,5.0,7.0,6.0,2.0,3.0,2.0
826.0,United Kingdom,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en-native,deepseek-chat_United Kingdom_en-native,2.0,2.0,3.0,2.0,4.0,8.0,7.0,2.0,3.0,1.0
586.0,Pakistan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en-native,deepseek-chat_Pakistan_en-native,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,3.0,1.0
170.0,Colombia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Colombia_es,2.0,2.0,1.0,1.0,8.0,7.0,4.0,2.0,3.0,1.0
218.0,Ecuador,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Ecuador_en,2.0,2.0,1.0,2.0,8.0,5.0,3.0,1.0,3.0,1.0
404.0,Kenya,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en-native,deepseek-chat_Kenya_en-native,2.0,2.0,1.0,2.0,9.0,3.0,3.0,1.0,3.0,1.0
422.0,Lebanon,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Lebanon_en,2.0,2.0,1.0,2.0,8.0,2.0,3.0,2.0,3.0,1.0
442.0,Luxembourg,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,fr,deepseek-chat_Luxembourg_fr,2.0,1.0,1.0,2.0,5.0,8.0,7.0,1.0,3.0,1.0
76.0,Brazil,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,pt,deepseek-chat_Brazil_pt,2.0,2.0,3.0,2.0,8.0,8.0,5.0,2.0,3.0,1.0
710.0,South Africa,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en-native,deepseek-chat_South Africa_en-native,2.0,2.0,2.0,2.0,7.0,6.0,5.0,2.0,3.0,1.0
840.0,United States,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en-native,deepseek-chat_United States_en-native,2.0,2.0,3.0,2.0,5.0,8.0,7.0,1.0,4.0,1.0
414.0,Kuwait,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,fr,deepseek-chat_Kuwait_fr,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,3.0,1.0
410.0,Korea,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en,deepseek-chat_Korea_en,2.0,2.0,1.0,2.0,5.0,4.0,3.0,1.0,1.0,1.0
504.0,Morocco,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Morocco_en,2.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,3.0,1.0
442.0,Luxembourg,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,en,deepseek-chat_Luxembourg_en,1.0,2.0,2.0,2.0,5.0,9.0,7.0,1.0,3.0,2.0
724.0,Spain,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,es,deepseek-chat_Spain_es,2.0,2.0,1.0,2.0,3.0,10.0,7.0,1.0,3.0,1.0
716.0,Zimbabwe,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en-native,deepseek-chat_Zimbabwe_en-native,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,3.0,1.0
446.0,Macao,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,en,deepseek-chat_Macao_en,2.0,2.0,1.0,2.0,5.0,5.0,5.0,1.0,1.0,1.0
332.0,Haiti,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,fr,deepseek-chat_Haiti_fr,3.0,2.0,1.0,2.0,10.0,3.0,1.0,2.0,3.0,1.0
68.0,Bolivia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en,deepseek-chat_Bolivia_en,2.0,2.0,1.0,2.0,8.0,4.0,2.0,1.0,3.0,1.0
558.0,Nicaragua,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Nicaragua_en,2.0,2.0,1.0,2.0,9.0,4.0,2.0,1.0,3.0,1.0
887.0,Yemen,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Yemen_fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0
702.0,Singapore,2025,1.0,multilingual_roleplay,deepseek-chat,CN,West & South Asia,en-native,deepseek-chat_Singapore_en-native,2.0,2.0,1.0,2.0,7.0,5.0,5.0,1.0,1.0,1.0
158.0,Taiwan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,zh-tw,deepseek-chat_Taiwan_zh-tw,2.0,2.0,1.0,2.0,5.0,8.0,6.0,1.0,2.0,1.0
332.0,Haiti,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Haiti_en,2.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,3.0,1.0
152.0,Chile,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en,deepseek-chat_Chile_en,2.0,2.0,1.0,1.0,7.0,7.0,4.0,2.0,3.0,1.0
400.0,Jordan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Jordan_ar,2.0,2.0,1.0,2.0,10.0,2.0,1.0,1.0,1.0,1.0
276.0,Germany,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Protestant Europe,de,deepseek-chat_Germany_de,2.0,2.0,2.0,2.0,5.0,8.0,6.0,2.0,3.0,1.0
788.0,Tunisia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Tunisia_en,2.0,2.0,1.0,2.0,8.0,2.0,3.0,1.0,3.0,1.0
392.0,Japan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,ja,deepseek-chat_Japan_ja,2.0,2.0,1.0,2.0,5.0,6.0,4.0,1.0,3.0,1.0
862.0,Venezuela,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en,deepseek-chat_Venezuela_en,2.0,2.0,1.0,2.0,9.0,3.0,4.0,2.0,3.0,1.0
218.0,Ecuador,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Ecuador_es,2.0,2.0,1.0,2.0,8.0,5.0,4.0,2.0,3.0,1.0
152.0,Chile,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Chile_es,2.0,2.0,1.0,1.0,7.0,8.0,5.0,2.0,3.0,1.0
470.0,Malta,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en-native,deepseek-chat_Malta_en-native,1.0,2.0,1.0,2.0,8.0,6.0,3.0,1.0,3.0,1.0
854.0,Burkina Faso,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Burkina Faso_fr,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,3.0,1.0
344.0,Hong Kong,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,zh-hk,deepseek-chat_Hong Kong_zh-hk,2.0,2.0,2.0,2.0,5.0,8.0,7.0,2.0,3.0,2.0
434.0,Libya,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,fr,deepseek-chat_Libya_fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,2.0,3.0,1.0
756.0,Switzerland,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Protestant Europe,it,deepseek-chat_Switzerland_it,2.0,2.0,1.0,2.0,5.0,8.0,7.0,2.0,1.0,2.0
250.0,France,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,fr,deepseek-chat_France_fr,2.0,2.0,3.0,2.0,3.0,8.0,7.0,1.0,3.0,1.0
854.0,Burkina Faso,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Burkina Faso_en,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,3.0,1.0
620.0,Portugal,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,en,deepseek-chat_Portugal_en,2.0,2.0,3.0,2.0,7.0,8.0,5.0,1.0,3.0,1.0
434.0,Libya,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Libya_en,2.0,2.0,1.0,3.0,10.0,1.0,2.0,1.0,1.0,1.0
634.0,Qatar,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Qatar_en,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0
414.0,Kuwait,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,ar,deepseek-chat_Kuwait_ar,2.0,2.0,1.0,2.0,10.0,2.0,1.0,1.0,1.0,1.0
458.0,Malaysia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,West & South Asia,en-native,deepseek-chat_Malaysia_en-native,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,1.0
894.0,Zambia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en-native,deepseek-chat_Zambia_en-native,2.0,2.0,1.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0
643.0,Russia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,ru,deepseek-chat_Russia_ru,3.0,2.0,1.0,1.0,6.0,3.0,5.0,1.0,1.0,1.0
320.0,Guatemala,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Guatemala_es,2.0,2.0,1.0,2.0,9.0,5.0,3.0,1.0,3.0,1.0
40.0,Austria,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,de,deepseek-chat_Austria_de,2.0,2.0,1.0,2.0,5.0,8.0,6.0,2.0,3.0,1.0
368.0,Iraq,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Iraq_ar,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0
56.0,Belgium,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,de,deepseek-chat_Belgium_de,2.0,2.0,2.0,2.0,5.0,10.0,7.0,2.0,3.0,1.0
620.0,Portugal,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,pt,deepseek-chat_Portugal_pt,2.0,2.0,2.0,2.0,7.0,8.0,5.0,2.0,2.0,1.0
558.0,Nicaragua,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Nicaragua_es,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,1.0,1.0
344.0,Hong Kong,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,en-native,deepseek-chat_Hong Kong_en-native,2.0,2.0,1.0,2.0,5.0,7.0,5.0,2.0,3.0,1.0
56.0,Belgium,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,fr,deepseek-chat_Belgium_fr,2.0,2.0,1.0,2.0,5.0,10.0,7.0,2.0,3.0,1.0
288.0,Ghana,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en-native,deepseek-chat_Ghana_en-native,1.0,2.0,1.0,2.0,10.0,1.0,3.0,1.0,3.0,1.0
392.0,Japan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,en,deepseek-chat_Japan_en,2.0,2.0,1.0,2.0,3.0,5.0,5.0,2.0,1.0,1.0
398.0,Kazakhstan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Kazakhstan_en,2.0,2.0,1.0,2.0,8.0,3.0,4.0,1.0,1.0,1.0
276.0,Germany,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Protestant Europe,en,deepseek-chat_Germany_en,2.0,2.0,2.0,2.0,3.0,10.0,7.0,2.0,4.0,2.0
504.0,Morocco,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Morocco_ar,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,1.0,1.0
643.0,Russia,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en,deepseek-chat_Russia_en,3.0,2.0,1.0,2.0,7.0,3.0,4.0,1.0,1.0,2.0
422.0,Lebanon,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Lebanon_ar,3.0,2.0,3.0,2.0,10.0,1.0,3.0,2.0,1.0,1.0
12.0,Algeria,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Algeria_en,2.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0
414.0,Kuwait,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en,deepseek-chat_Kuwait_en,1.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,1.0
417.0,Kyrgyzstan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ru,deepseek-chat_Kyrgyzstan_ru,2.0,2.0,1.0,2.0,8.0,3.0,3.0,1.0,3.0,1.0
380.0,Italy,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,en,deepseek-chat_Italy_en,2.0,2.0,1.0,2.0,7.0,7.0,5.0,1.0,3.0,1.0
112.0,Belarus,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Orthodox Europe,en,deepseek-chat_Belarus_en,2.0,2.0,1.0,2.0,7.0,3.0,4.0,2.0,1.0,1.0
446.0,Macao,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Confucian,zh-cn,deepseek-chat_Macao_zh-cn,2.0,2.0,1.0,2.0,6.0,7.0,5.0,2.0,3.0,2.0
818.0,Egypt,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Egypt_en,2.0,2.0,1.0,2.0,9.0,1.0,3.0,1.0,1.0,1.0
780.0,Trinidad and Tobago,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en-native,deepseek-chat_Trinidad and Tobago_en-native,1.0,2.0,1.0,2.0,8.0,5.0,4.0,1.0,3.0,1.0
400.0,Jordan,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Jordan_en,2.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,1.0,1.0
858.0,Uruguay,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Uruguay_es,2.0,2.0,2.0,2.0,5.0,8.0,6.0,2.0,3.0,1.0
368.0,Iraq,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en,deepseek-chat_Iraq_en,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,1.0,1.0
608.0,Philippines,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,en-native,deepseek-chat_Philippines_en-native,1.0,2.0,1.0,2.0,9.0,5.0,2.0,1.0,3.0,1.0
634.0,Qatar,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,ar,deepseek-chat_Qatar_ar,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,1.0,1.0
566.0,Nigeria,2025,1.0,multilingual_roleplay,deepseek-chat,CN,African-Islamic,en-native,deepseek-chat_Nigeria_en-native,2.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,3.0,1.0
630.0,Puerto Rico,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,en-native,deepseek-chat_Puerto Rico_en-native,1.0,2.0,2.0,1.0,9.0,8.0,5.0,1.0,3.0,1.0
554.0,New Zealand,2025,1.0,multilingual_roleplay,deepseek-chat,CN,English-Speaking,en-native,deepseek-chat_New Zealand_en-native,1.0,2.0,3.0,2.0,3.0,9.0,7.0,1.0,4.0,1.0
112.0,Belarus,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Orthodox Europe,ru,deepseek-chat_Belarus_ru,3.0,2.0,1.0,2.0,7.0,3.0,3.0,1.0,1.0,1.0
250.0,France,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Catholic Europe,en,deepseek-chat_France_en,2.0,2.0,3.0,1.0,4.0,8.0,8.0,2.0,3.0,1.0
32.0,Argentina,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Latin America,es,deepseek-chat_Argentina_es,2.0,2.0,1.0,2.0,7.0,10.0,6.0,2.0,3.0,1.0
410.0,Korea,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,ko,deepseek-chat_Korea_ko,2.0,2.0,1.0,2.0,6.0,4.0,3.0,1.0,1.0,1.0
275.0,Palestine,2025,1.0,multilingual_roleplay,deepseek-chat,CN,Unknown,ar,deepseek-chat_Palestine_ar,3.0,2.0,1.0,1.0,10.0,1.0,1.0,1.0,1.0,1.0
446.0,Macao,2025,1.0,multilingual_roleplay,claude-sonnet-4.5,Unknown,Confucian,zh-cn,claude-sonnet-4.5_Macao_zh-cn,2.0,2.0,1.0,2.0,5.0,7.0,6.0,2.0,1.0,1.0
