country,model_name,language,A008,A165,E018,E025,F063,F118,F120,G006,Y002,Y003,PC1,PC2
Palestine,gpt-5.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Yemen,qwen3-1.7b,fr,1.0,1.0,3.0,3.0,1.0,5.0,5.0,3.0,,,2.297129952453444,3.2475588313454518
Qatar,gpt-4o-mini,fr,,,,,,,,,,,0.38,-0.01
Kuwait,gpt-4o-mini,fr,,,,,,,,,,,0.38,-0.01
Lebanon,qwen3-1.7b,fr,1.0,1.0,1.0,3.0,5.0,5.0,5.0,2.0,,,2.284969416309124,-0.28681879610581046
Jordan,kimi-k2,fr,,,,,,,,,,,0.38,-0.01
Algeria,doubao-1-5-pro-32k-250115,fr,2.0,2.0,1.0,2.0,9.0,1.0,1.0,1.0,,,-1.2690273483447272,-2.1153257287405762
Algeria,claude-3-7-sonnet-20250219,fr,3.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,,,-1.9991445153976795,-0.7127405235753582
Yemen,grok-4.1-fast,fr,4.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-5.461353959179538,2.1876282265200584
Algeria,gpt-4o,fr,3.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,,,-1.9101878921631577,-0.7523428018506829
Libya,gemma-3-4b-it,fr,1.0,2.0,3.0,1.0,9.0,2.0,2.0,2.0,,,0.7417958498865287,-0.07794457441922359
Morocco,qwen3-1.7b,fr,1.0,1.0,1.0,3.0,5.0,5.0,5.0,3.0,,,1.857803529367203,0.9297455585546807
Egypt,gpt-4o,fr,3.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,,,-1.9101878921631577,-0.7523428018506829
Morocco,gemini-2.5-flash,fr,2.0,2.0,1.0,2.0,10.0,,,1.0,,,-0.09678859495962372,-1.5519843178585635
Iraq,mistral-medium-3.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Kuwait,grok-4.1-fast,fr,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-1.0676867884256431,-3.6485917236649343
Jordan,deepseek-chat,fr,3.0,2.0,1.0,2.0,9.0,2.0,2.0,1.0,,,-1.9991445153976795,-0.7127405235753582
Iraq,grok-4.1-fast,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-4.281575493556187,1.053264479565388
Iraq,claude-sonnet-4.5,fr,,2.0,1.0,,10.0,1.0,1.0,2.0,,,-1.8036031368714909,-1.2491719676809143
Libya,deepseek-chat-v3.1,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-3.427243719672346,-1.3798642297555939
Qatar,deepseek-chat,fr,,,,,,,,,,,0.38,-0.01
Kuwait,gemini-3-pro-preview,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Yemen,mistral-nemo,fr,1.0,2.0,1.0,1.0,10.0,1.0,2.0,3.0,,,0.0019708707713549933,-0.6632120831509971
Iraq,gemini-3-pro-preview,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Palestine,kimi-k2,fr,,,,,,,,,,,0.38,-0.01
Tunisia,deepseek-chat,fr,3.0,2.0,1.0,2.0,9.0,2.0,1.0,2.0,,,-2.6371100271363375,0.3374748228893628
Kuwait,gpt-4o,fr,,,,,,,,,,,0.38,-0.01
Tunisia,mistral-medium-3.1,fr,3.0,2.0,1.0,2.0,9.0,2.0,3.0,1.0,,,-1.788344890600941,-0.5463915153795881
Kuwait,gpt-5.1,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Iraq,gemma-3-4b-it,fr,1.0,2.0,3.0,1.0,9.0,2.0,2.0,2.0,,,0.7417958498865287,-0.07794457441922359
Lebanon,gpt-4o-mini,fr,,,,,,,,,,,0.38,-0.01
Lebanon,claude-sonnet-4.5,fr,,2.0,1.0,2.0,9.0,2.0,3.0,2.0,,,-0.9112669481889647,-0.5838650672566504
Qatar,llama-3.3-70b-instruct,fr,1.0,1.0,1.0,2.0,10.0,1.0,1.0,1.0,,,1.1608700053004144,-3.4130744544653755
Egypt,mistral-nemo,fr,1.0,2.0,1.0,1.0,9.0,3.0,3.0,3.0,,,0.8123368446776325,-0.08716688845457587
Yemen,gpt-5.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Qatar,claude-sonnet-4.5,fr,,2.0,1.0,1.0,10.0,1.0,2.0,1.0,,,-0.19901045723760902,-2.081651205100191
Qatar,kimi-k2,fr,,,,,,,,,,,0.38,-0.01
Qatar,gemini-2.5-pro,fr,,,,,,,2.0,,,,-0.008629022925981666,-0.31668011189376943
Iraq,gemini-2.5-flash,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,3.0,,,-3.2141809646173987,1.4125644492597507
Egypt,qwen3-max,fr,3.0,2.0,1.0,2.0,9.0,1.0,2.0,2.0,,,-2.665172076113261,0.40195138107035494
Qatar,glm-4.6,fr,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-1.0676867884256431,-3.6485917236649343
Morocco,glm-4.6,fr,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-2.2474652540489948,-2.5142279767102638
Iraq,kimi-k2,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Kuwait,qwq-32b,fr,2.0,1.0,1.0,3.0,10.0,1.0,2.0,1.0,,,-0.6647037396682504,-2.3053126608135277
Qatar,gpt-4o,fr,,,,,,,,,,,0.38,-0.01
Jordan,gpt-4o-mini,fr,,,,,,,,,,,0.38,-0.01
Jordan,claude-3.7-sonnet,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Morocco,gemma-3-4b-it,fr,1.0,1.0,3.0,1.0,9.0,2.0,2.0,2.0,,,2.113757739470536,-0.035378266718257056
Jordan,doubao-1-5-pro-32k-250115,fr,,,,,,,,,,,0.38,-0.01
Palestine,claude-sonnet-4.5,fr,,2.0,1.0,1.0,10.0,1.0,2.0,1.0,,,-0.19901045723760902,-2.081651205100191
Palestine,gemma-3-4b-it,fr,1.0,2.0,3.0,1.0,9.0,2.0,7.0,2.0,,,1.7957939738702189,0.7538004665596267
Lebanon,grok-4.1-fast,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,3.0,,,-3.4249805894141363,1.2462154410639807
Kuwait,doubao-1-5-pro-32k-250115,fr,,,,,,,,,,,0.38,-0.01
Morocco,gpt-5.1,fr,2.0,2.0,1.0,2.0,10.0,2.0,3.0,1.0,,,-0.7304094265398063,-1.8867065488053532
Morocco,qwq-32b,fr,2.0,1.0,1.0,2.0,9.0,2.0,2.0,2.0,,,0.12542995286775838,-0.587973608168571
Iraq,gpt-4o-mini,fr,,,,,,,,,,,0.38,-0.01
Yemen,gemini-2.5-pro,fr,,,,,,,,,,,0.38,-0.01
Morocco,deepseek-chat-v3.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Yemen,gemini-2.5-flash,fr,,,,,,,,,,,0.38,-0.01
Libya,glm-4.6,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-4.281575493556187,1.053264479565388
Libya,grok-4.1-fast,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-4.281575493556187,1.053264479565388
Lebanon,kimi-k2,fr,,,,,,,,,,,0.38,-0.01
Kuwait,deepseek-chat-v3.1,fr,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-1.0676867884256431,-3.6485917236649343
Lebanon,llama-3.2-3b-instruct,fr,2.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,0.6499334675462537,1.395301266896946
Algeria,gpt-5.1,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Iraq,doubao-1-5-pro-32k-250115,fr,,,,,,,,,,,0.38,-0.01
Palestine,gpt-4o,fr,,,,,,,,,,,0.38,-0.01
Lebanon,llama-3.3-70b-instruct,fr,2.0,2.0,1.0,2.0,8.0,2.0,4.0,2.0,,,-0.7030896855605556,-0.09189061300690245
Algeria,claude-sonnet-4.5,fr,,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.0556053613796599,-2.274602166598785
Egypt,gemini-2.5-flash,fr,,,,,,,,,,,0.38,-0.01
Algeria,mistral-medium-3.1,fr,1.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,,,0.12155074207536176,-3.083340467499477
Palestine,doubao-1-5-pro-32k-250115,fr,,,,,,,,,,,0.38,-0.01
Kuwait,llama-3.3-70b-instruct,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Palestine,qwen3-1.7b,fr,1.0,1.0,3.0,3.0,5.0,5.0,5.0,3.0,,,1.8097579462045785,2.4237536854610724
Kuwait,gemma-3-4b-it,fr,1.0,1.0,3.0,1.0,9.0,2.0,2.0,2.0,,,2.113757739470536,-0.035378266718257056
Lebanon,gemini-3-pro-preview,fr,3.0,2.0,1.0,2.0,9.0,2.0,2.0,3.0,,,-2.85347628928152,1.7203881857456236
Algeria,qwen3-1.7b,fr,,,,,,,,,,,0.38,-0.01
Lebanon,glm-4.6,fr,3.0,2.0,3.0,2.0,10.0,1.0,1.0,2.0,,,-3.0458602856348405,1.5236592133098814
Palestine,llama-3.2-3b-instruct,fr,2.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,0.6499334675462537,1.395301266896946
Yemen,qwq-32b,fr,4.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-5.461353959179538,2.1876282265200584
Kuwait,glm-4.6,fr,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-2.2474652540489948,-2.5142279767102638
Egypt,doubao-1-5-pro-32k-250115,fr,,,,,,,,,,,0.38,-0.01
Egypt,gemma-3-4b-it,fr,1.0,1.0,3.0,1.0,8.0,2.0,6.0,2.0,,,3.078799240219704,0.8359690525359179
Iraq,qwen3-1.7b,fr,,,,,,,,,,,0.38,-0.01
Yemen,qwen3-max,fr,4.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-5.461353959179538,2.1876282265200584
Egypt,qwen3-1.7b,fr,,,,,,,,,,,0.38,-0.01
Libya,gpt-5.1,fr,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-1.390870349906944,-2.3212770152116713
Morocco,gemini-3-pro-preview,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Yemen,doubao-1-5-pro-32k-250115,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Algeria,gpt-4o-mini,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-1.6072366120521262,-0.9383636523554103
Iraq,gemini-2.5-pro,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-2.787015077675478,0.19600009459926002
Iraq,gpt-4o,fr,,,,,,,,,,,0.38,-0.01
Palestine,llama-3.3-70b-instruct,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-2.787015077675478,0.19600009459926002
Tunisia,claude-3-7-sonnet-20250219,fr,3.0,2.0,1.0,2.0,9.0,2.0,3.0,2.0,,,-2.2155107775428613,0.6701728392809029
Jordan,grok-4.1-fast,fr,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-2.2474652540489948,-2.5142279767102638
Jordan,deepseek-chat-v3.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Tunisia,mistral-nemo,fr,1.0,2.0,1.0,1.0,7.0,3.0,3.0,3.0,,,1.056022847802066,0.32473568448761364
Yemen,gpt-4o,fr,,,,,,,,,,,0.38,-0.01
Egypt,grok-4.1-fast,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-3.427243719672346,-1.3798642297555939
Kuwait,qwen3-max,fr,2.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-1.390870349906944,-2.3212770152116713
Egypt,glm-4.6,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-3.427243719672346,-1.3798642297555939
Kuwait,kimi-k2,fr,1.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-0.2110918842835927,-3.4556407621663414
Kuwait,claude-sonnet-4.5,fr,,2.0,1.0,,10.0,1.0,2.0,1.0,,,-1.1656376251328324,-2.299387314145635
Libya,gpt-4o-mini,fr,2.0,1.0,1.0,2.0,10.0,1.0,1.0,2.0,,,-0.44607434726485773,-1.0621463528502142
Tunisia,grok-4.1-fast,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-2.787015077675478,0.19600009459926002
Qatar,deepseek-chat-v3.1,fr,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-1.0676867884256431,-3.6485917236649343
Egypt,gemini-2.5-pro,fr,,,,,,,,,,,0.38,-0.01
Palestine,mistral-nemo,fr,1.0,2.0,3.0,1.0,7.0,3.0,3.0,3.0,,,1.007977264639441,1.8187438113940053
Yemen,llama-3.2-3b-instruct,fr,3.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,-0.5298449980770975,2.5296650138516172
Palestine,gemini-3-pro-preview,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Algeria,qwen3-max,fr,3.0,2.0,1.0,2.0,9.0,1.0,2.0,2.0,,,-2.665172076113261,0.40195138107035494
Kuwait,qwen3-1.7b,fr,,,,,,,,,,,0.38,-0.01
Libya,qwq-32b,fr,3.0,1.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-2.9096136039721805,1.0958307872663544
Iraq,llama-3.3-70b-instruct,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-2.787015077675478,0.19600009459926002
Iraq,llama-3.2-3b-instruct,fr,2.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,0.6499334675462537,1.395301266896946
Morocco,llama-3.2-3b-instruct,fr,3.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,-0.5298449980770975,2.5296650138516172
Morocco,mistral-nemo,fr,1.0,2.0,1.0,1.0,7.0,3.0,3.0,3.0,,,1.056022847802066,0.32473568448761364
Algeria,gemini-2.5-pro,fr,3.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-2.359849190733557,-1.020564260061231
Kuwait,gemini-2.5-pro,fr,,,,,,,,,,,0.38,-0.01
Kuwait,deepseek-chat,fr,,,,,,,,,,,0.38,-0.01
Lebanon,qwq-32b,fr,4.0,2.0,3.0,2.0,8.0,3.0,2.0,3.0,,,-3.7205956627316183,4.6565837960925585
Yemen,glm-4.6,fr,4.0,2.0,1.0,3.0,10.0,1.0,1.0,3.0,,,-5.461353959179538,2.1876282265200584
Qatar,qwen3-1.7b,fr,,,,,,,,,,,0.38,-0.01
Algeria,llama-3.3-70b-instruct,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,2.0,,,-1.6072366120521262,-0.9383636523554103
Egypt,llama-3.2-3b-instruct,fr,3.0,2.0,2.0,2.0,8.0,6.0,6.0,2.0,,,-0.5298449980770975,2.5296650138516172
Tunisia,doubao-1-5-pro-32k-250115,fr,2.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,,,-1.058227723547989,-1.9489767205448068
Morocco,grok-4.1-fast,fr,2.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-2.2474652540489948,-2.5142279767102638
Egypt,deepseek-chat-v3.1,fr,3.0,2.0,1.0,2.0,10.0,1.0,1.0,1.0,,,-2.570648815530295,-1.186913268257001
Jordan,llama-3.3-70b-instruct,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Morocco,qwen3-max,fr,2.0,2.0,1.0,2.0,9.0,1.0,2.0,2.0,,,-1.48539361048991,-0.7324123658843157
Lebanon,gemma-3-4b-it,fr,1.0,2.0,3.0,1.0,7.0,2.0,6.0,2.0,,,1.8286803521979138,0.9993540313060463
Palestine,qwen3-max,fr,4.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-3.539627656356908,0.11379948689343927
Libya,kimi-k2,fr,,,,,,,,,,,0.38,-0.01
Egypt,gpt-5.1,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Qatar,gemma-3-4b-it,fr,1.0,1.0,3.0,1.0,9.0,1.0,2.0,1.0,,,2.302061952638795,-1.3538150713935262
Kuwait,llama-3.2-3b-instruct,fr,2.0,2.0,1.0,2.0,8.0,6.0,6.0,2.0,,,0.6739562591275663,0.6482972034437502
Egypt,gpt-4o-mini,fr,,,,,,,,,,,0.38,-0.01
Yemen,deepseek-chat,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-3.427243719672346,-1.3798642297555939
Qatar,grok-4.1-fast,fr,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-1.0676867884256431,-3.6485917236649343
Tunisia,gpt-4o,fr,3.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,,,-1.671326218389496,-0.6504703518359045
Libya,qwen3-1.7b,fr,,,,,,,,,,,0.38,-0.01
Egypt,mistral-medium-3.1,fr,1.0,2.0,1.0,2.0,9.0,1.0,2.0,1.0,,,0.12155074207536176,-3.083340467499477
Egypt,qwq-32b,fr,2.0,1.0,1.0,3.0,10.0,1.0,2.0,1.0,,,-0.6647037396682504,-2.3053126608135277
Libya,gemini-2.5-flash,fr,,,,,,,,,,,0.38,-0.01
Jordan,gemini-3-pro-preview,fr,2.0,2.0,1.0,2.0,10.0,1.0,2.0,1.0,,,-1.1800707251102058,-2.154928007015901
Yemen,deepseek-chat-v3.1,fr,4.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-4.607022185295698,-0.2455004828009235
Qatar,claude-3.7-sonnet,fr,1.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-1.0676867884256431,-3.6485917236649343
Jordan,mistral-medium-3.1,fr,3.0,2.0,1.0,3.0,10.0,1.0,1.0,1.0,,,-3.427243719672346,-1.3798642297555939
